"",BBDA1.M.DE.Y.IM.S.GP09IS12.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS12.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Aggregate excluding energy / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:36,
2008-01,58.64,
2008-02,58.41,
2008-03,57.95,
2008-04,57.45,
2008-05,57.67,
2008-06,56.91,
2008-07,59.19,
2008-08,58.52,
2008-09,59.29,
2008-10,57.13,
2008-11,55.71,
2008-12,54.35,
2009-01,51.28,
2009-02,50.06,
2009-03,49.49,
2009-04,48.40,
2009-05,45.85,
2009-06,47.09,
2009-07,47.78,
2009-08,48.39,
2009-09,51.18,
2009-10,49.63,
2009-11,48.72,
2009-12,50.54,
2010-01,51.66,
2010-02,51.74,
2010-03,57.06,
2010-04,54.49,
2010-05,59.89,
2010-06,61.36,
2010-07,60.75,
2010-08,60.03,
2010-09,61.03,
2010-10,59.85,
2010-11,63.13,
2010-12,61.83,
2011-01,62.51,
2011-02,63.96,
2011-03,64.86,
2011-04,63.86,
2011-05,66.01,
2011-06,66.91,
2011-07,64.87,
2011-08,66.21,
2011-09,66.15,
2011-10,65.19,
2011-11,65.12,
2011-12,64.07,
2012-01,62.95,
2012-02,65.15,
2012-03,64.05,
2012-04,63.14,
2012-05,66.60,
2012-06,64.56,
2012-07,65.37,
2012-08,65.50,
2012-09,64.58,
2012-10,64.46,
2012-11,64.29,
2012-12,62.27,
2013-01,64.47,
2013-02,62.41,
2013-03,62.95,
2013-04,63.90,
2013-05,64.91,
2013-06,63.61,
2013-07,64.25,
2013-08,63.48,
2013-09,63.46,
2013-10,65.05,
2013-11,64.85,
2013-12,64.66,
2014-01,66.32,
2014-02,66.63,
2014-03,65.60,
2014-04,66.38,
2014-05,64.01,
2014-06,67.65,
2014-07,66.44,
2014-08,65.52,
2014-09,68.38,
2014-10,66.88,
2014-11,67.75,
2014-12,68.26,
