"",BBK01.OEYB21H,BBK01.OEYB21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:37,
2002-01,36.630,
2002-04,35.918,
2002-07,35.896,
2002-10,36.122,
2003-01,34.020,
2003-04,34.156,
2003-07,33.372,
2003-10,40.414,
2004-01,40.133,
2004-04,36.432,
2004-07,38.262,
2004-10,35.472,
2005-01,34.056,
2005-04,33.176,
2005-07,31.937,
2005-10,31.722,
2006-01,31.020,
2006-04,29.611,
2006-07,28.282,
2006-10,28.508,
2007-01,28.693,
2007-04,28.081,
2007-07,26.518,
2007-10,24.903,
2008-01,24.549,
2008-04,23.769,
2008-07,24.131,
2008-10,22.766,
2009-01,22.857,
2009-04,22.596,
2009-07,27.464,
2009-10,28.991,
2010-01,28.276,
2010-04,28.271,
2010-07,28.907,
2010-10,92.462,
2011-01,68.846,
2011-04,53.195,
2011-07,43.503,
2011-10,35.283,
2012-01,34.391,
2012-04,34.524,
2012-07,34.330,
2012-10,34.913,
2013-01,33.350,
2013-04,31.635,
2013-07,31.606,
2013-10,31.330,
2014-01,31.183,
2014-04,29.856,
2014-07,30.470,
