"",BBK01.OEAE34O,BBK01.OEAE34O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:02,
2002-01,2.149,
2002-04,2.153,
2002-07,2.153,
2002-10,2.140,
2003-01,2.108,
2003-04,2.115,
2003-07,1.957,
2003-10,2.180,
2004-01,2.156,
2004-04,2.198,
2004-07,2.210,
2004-10,2.234,
2005-01,2.246,
2005-04,2.244,
2005-07,2.216,
2005-10,2.196,
2006-01,2.175,
2006-04,2.182,
2006-07,2.189,
2006-10,2.221,
2007-01,2.213,
2007-04,2.223,
2007-07,2.220,
2007-10,2.244,
2008-01,2.208,
2008-04,2.187,
2008-07,2.131,
2008-10,2.082,
2009-01,2.030,
2009-04,1.998,
2009-07,2.000,
2009-10,1.979,
2010-01,2.005,
2010-04,1.921,
2010-07,2.023,
2010-10,2.027,
2011-01,1.991,
2011-04,1.948,
2011-07,1.985,
2011-10,1.965,
2012-01,1.995,
2012-04,2.514,
2012-07,2.594,
2012-10,2.563,
2013-01,2.578,
2013-04,2.602,
2013-07,2.739,
2013-10,2.751,
2014-01,2.731,
2014-04,2.724,
2014-07,2.705,
