"",BBK01.OECL02R,BBK01.OECL02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:29,
2002-01,0.165,
2002-04,0.202,
2002-07,0.200,
2002-10,0.201,
2003-01,0.194,
2003-04,0.191,
2003-07,0.190,
2003-10,0.199,
2004-01,0.192,
2004-04,0.189,
2004-07,0.184,
2004-10,0.227,
2005-01,0.342,
2005-04,0.341,
2005-07,0.342,
2005-10,0.359,
2006-01,0.367,
2006-04,0.353,
2006-07,0.346,
2006-10,0.355,
2007-01,0.361,
2007-04,0.376,
2007-07,0.387,
2007-10,0.414,
2008-01,0.412,
2008-04,0.415,
2008-07,0.441,
2008-10,0.517,
2009-01,0.526,
2009-04,0.514,
2009-07,0.523,
2009-10,0.534,
2010-01,0.549,
2010-04,0.566,
2010-07,0.585,
2010-10,0.611,
2011-01,0.597,
2011-04,0.599,
2011-07,0.625,
2011-10,0.635,
2012-01,0.627,
2012-04,0.645,
2012-07,0.658,
2012-10,0.689,
2013-01,0.721,
2013-04,0.727,
2013-07,0.731,
2013-10,0.745,
2014-01,0.763,
2014-04,0.779,
2014-07,0.803,
