"",BBFN1.M.DE.N.1.A.R12.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.R12.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:59,
1978-12,0.081,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.077,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.087,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.172,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,0.230,
1983-01,0.225,
1983-02,0.235,
1983-03,0.229,
1983-04,0.228,
1983-05,0.227,
1983-06,0.226,
1983-07,0.228,
1983-08,0.237,
1983-09,0.238,
1983-10,0.239,
1983-11,0.247,
1983-12,0.261,
1984-01,0.252,
1984-02,0.251,
1984-03,0.265,
1984-04,0.266,
1984-05,0.413,
1984-06,0.411,
1984-07,0.442,
1984-08,0.443,
1984-09,0.446,
1984-10,0.456,
1984-11,0.457,
1984-12,0.470,
1985-01,0.447,
1985-02,0.419,
1985-03,0.417,
1985-04,0.420,
1985-05,0.448,
1985-06,0.452,
1985-07,0.439,
1985-08,0.440,
1985-09,0.436,
1985-10,0.426,
1985-11,0.496,
1985-12,0.491,
1986-01,0.420,
1986-02,0.411,
1986-03,0.402,
1986-04,0.472,
1986-05,0.473,
1986-06,0.472,
1986-07,0.452,
1986-08,0.459,
1986-09,0.425,
1986-10,0.325,
1986-11,0.324,
1986-12,0.319,
1987-01,0.317,
1987-02,0.316,
1987-03,0.316,
1987-04,0.248,
1987-05,0.245,
1987-06,0.242,
1987-07,0.242,
1987-08,0.243,
1987-09,0.239,
1987-10,0.274,
1987-11,0.274,
1987-12,0.242,
1988-01,0.238,
1988-02,0.239,
1988-03,0.239,
1988-04,0.242,
1988-05,0.244,
1988-06,0.244,
1988-07,0.250,
1988-08,0.252,
1988-09,0.246,
1988-10,0.255,
1988-11,0.239,
1988-12,0.240,
1989-01,0.243,
1989-02,0.243,
1989-03,0.246,
1989-04,0.245,
1989-05,0.246,
1989-06,0.257,
1989-07,0.290,
1989-08,0.291,
1989-09,0.339,
1989-10,0.337,
1989-11,0.332,
1989-12,0.314,
1990-01,0.301,
1990-02,0.299,
1990-03,0.311,
1990-04,0.310,
1990-05,0.309,
1990-06,0.307,
1990-07,0.298,
1990-08,0.274,
1990-09,0.272,
1990-10,0.256,
1990-11,0.255,
1990-12,0.225,
1991-01,0.216,
1991-02,0.215,
1991-03,0.210,
1991-04,0.211,
1991-05,0.211,
1991-06,0.238,
1991-07,0.248,
1991-08,0.268,
1991-09,0.273,
1991-10,0.297,
1991-11,0.292,
1991-12,0.314,
1992-01,0.291,
1992-02,0.307,
1992-03,0.304,
1992-04,0.306,
1992-05,0.319,
1992-06,0.316,
1992-07,0.313,
1992-08,0.308,
1992-09,0.307,
1992-10,0.309,
1992-11,0.324,
1992-12,0.322,
1993-01,0.306,
1993-02,0.301,
1993-03,0.300,
1993-04,0.302,
1993-05,0.301,
1993-06,0.303,
1993-07,0.311,
1993-08,0.310,
1993-09,0.323,
1993-10,0.316,
1993-11,0.314,
1993-12,0.318,
1994-01,0.321,
1994-02,0.320,
1994-03,0.315,
1994-04,0.309,
1994-05,0.301,
1994-06,0.301,
1994-07,0.325,
1994-08,0.322,
1994-09,0.311,
1994-10,0.302,
1994-11,0.303,
1994-12,0.290,
1995-01,0.297,
1995-02,0.297,
1995-03,0.290,
1995-04,0.300,
1995-05,0.306,
1995-06,0.303,
1995-07,0.318,
1995-08,0.319,
1995-09,0.327,
1995-10,0.330,
1995-11,0.330,
1995-12,0.305,
1996-01,0.305,
1996-02,0.305,
1996-03,0.298,
1996-04,0.300,
1996-05,0.295,
1996-06,0.296,
1996-07,0.253,
1996-08,0.242,
1996-09,0.271,
1996-10,0.269,
1996-11,0.274,
1996-12,0.269,
1997-01,0.270,
1997-02,0.273,
1997-03,0.278,
1997-04,0.279,
1997-05,0.279,
1997-06,0.280,
1997-07,0.290,
1997-08,0.290,
1997-09,0.290,
1997-10,0.289,
1997-11,0.286,
1997-12,0.274,
1998-01,0.335,
1998-02,0.343,
1998-03,0.337,
1998-04,0.344,
1998-05,0.341,
1998-06,0.334,
1998-07,0.335,
1998-08,0.357,
1998-09,0.347,
1998-10,0.332,
1998-11,0.322,
1998-12,0.309,
1999-01,0.311,
1999-02,0.358,
1999-03,0.276,
1999-04,0.362,
1999-05,0.371,
1999-06,0.367,
1999-07,0.369,
1999-08,0.366,
1999-09,0.379,
1999-10,0.397,
1999-11,0.396,
1999-12,0.392,
2000-01,0.343,
2000-02,0.350,
2000-03,0.342,
2000-04,0.338,
2000-05,0.402,
2000-06,0.400,
2000-07,0.393,
2000-08,0.397,
2000-09,0.315,
2000-10,0.337,
2000-11,0.349,
2000-12,0.350,
2001-01,0.343,
2001-02,0.340,
2001-03,0.431,
2001-04,0.432,
2001-05,0.432,
2001-06,0.333,
2001-07,0.365,
2001-08,0.358,
2001-09,0.307,
2001-10,0.305,
2001-11,0.310,
2001-12,0.255,
2002-01,0.248,
2002-02,0.232,
2002-03,0.222,
2002-04,0.224,
2002-05,0.272,
2002-06,0.271,
2002-07,0.222,
2002-08,0.222,
2002-09,0.280,
2002-10,0.259,
2002-11,0.256,
2002-12,0.264,
2003-01,0.253,
2003-02,0.273,
2003-03,0.273,
2003-04,0.255,
2003-05,0.257,
2003-06,0.257,
2003-07,0.243,
2003-08,0.244,
2003-09,0.211,
2003-10,0.352,
2003-11,0.352,
2003-12,0.372,
2004-01,0.384,
2004-02,0.348,
2004-03,0.344,
2004-04,0.345,
2004-05,0.344,
2004-06,0.342,
2004-07,0.342,
2004-08,0.345,
2004-09,0.337,
2004-10,0.349,
2004-11,0.337,
2004-12,0.339,
2005-01,0.376,
2005-02,0.350,
2005-03,0.332,
2005-04,0.330,
2005-05,0.309,
2005-06,0.329,
2005-07,0.332,
