"",BBK01.OECB14O,BBK01.OECB14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:03,
2002-01,0.234,
2002-04,0.231,
2002-07,0.282,
2002-10,0.304,
2003-01,0.196,
2003-04,0.191,
2003-07,0.184,
2003-10,0.187,
2004-01,0.175,
2004-04,0.163,
2004-07,0.169,
2004-10,0.166,
2005-01,0.166,
2005-04,0.167,
2005-07,0.160,
2005-10,0.163,
2006-01,0.156,
2006-04,0.159,
2006-07,0.168,
2006-10,0.170,
2007-01,0.151,
2007-04,0.149,
2007-07,0.138,
2007-10,0.139,
2008-01,0.127,
2008-04,0.128,
2008-07,0.119,
2008-10,0.121,
2009-01,0.124,
2009-04,0.114,
2009-07,0.105,
2009-10,0.106,
2010-01,0.104,
2010-04,0.121,
2010-07,0.119,
2010-10,0.114,
2011-01,0.099,
2011-04,0.096,
2011-07,0.099,
2011-10,0.096,
2012-01,0.085,
2012-04,0.086,
2012-07,0.081,
2012-10,0.085,
2013-01,0.081,
2013-04,0.071,
2013-07,0.062,
2013-10,0.067,
2014-01,0.060,
2014-04,0.061,
2014-07,0.066,
