"",BBDE1.M.DE.Y.AEA1.P2XF20000.B2.C.I10.A,BBDE1.M.DE.Y.AEA1.P2XF20000.B2.C.I10.A_FLAGS
"","Orders received / At constant prices / Germany / Structural engineering, excluding residential construction / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:18,
1991-01,181.4,
1991-02,173.6,
1991-03,177.5,
1991-04,178.6,
1991-05,193.3,
1991-06,186.3,
1991-07,186.0,
1991-08,193.2,
1991-09,211.8,
1991-10,192.9,
1991-11,192.5,
1991-12,183.0,
1992-01,191.0,
1992-02,224.8,
1992-03,195.4,
1992-04,192.1,
1992-05,188.0,
1992-06,205.3,
1992-07,189.8,
1992-08,193.9,
1992-09,191.7,
1992-10,187.0,
1992-11,194.7,
1992-12,231.0,
1993-01,177.9,
1993-02,192.5,
1993-03,192.5,
1993-04,187.8,
1993-05,189.2,
1993-06,183.2,
1993-07,191.8,
1993-08,190.1,
1993-09,195.8,
1993-10,213.0,
1993-11,200.6,
1993-12,205.7,
1994-01,215.2,
1994-02,193.9,
1994-03,203.5,
1994-04,202.7,
1994-05,201.2,
1994-06,192.9,
1994-07,191.4,
1994-08,194.8,
1994-09,191.0,
1994-10,197.9,
1994-11,215.0,
1994-12,223.5,
1995-01,239.9,
1995-02,189.4,
1995-03,200.3,
1995-04,203.6,
1995-05,186.3,
1995-06,198.7,
1995-07,201.2,
1995-08,196.1,
1995-09,199.7,
1995-10,192.7,
1995-11,173.9,
1995-12,167.7,
1996-01,184.0,
1996-02,187.5,
1996-03,168.8,
1996-04,158.5,
1996-05,168.6,
1996-06,181.8,
1996-07,179.3,
1996-08,176.3,
1996-09,164.2,
1996-10,166.1,
1996-11,161.7,
1996-12,174.5,
1997-01,159.1,
1997-02,161.3,
1997-03,160.6,
1997-04,141.5,
1997-05,166.4,
1997-06,155.0,
1997-07,150.0,
1997-08,162.5,
1997-09,160.8,
1997-10,157.5,
1997-11,148.6,
1997-12,161.9,
1998-01,148.7,
1998-02,166.3,
1998-03,157.0,
1998-04,161.5,
1998-05,154.0,
1998-06,148.0,
1998-07,152.8,
1998-08,154.6,
1998-09,153.9,
1998-10,147.9,
1998-11,158.7,
1998-12,153.6,
1999-01,158.5,
1999-02,173.1,
1999-03,163.3,
