"",BBK01.OEAB08Q,BBK01.OEAB08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:07,
2002-01,73.701,
2002-04,73.755,
2002-07,69.959,
2002-10,70.606,
2003-01,70.312,
2003-04,77.754,
2003-07,77.613,
2003-10,77.994,
2004-01,77.522,
2004-04,69.669,
2004-07,69.462,
2004-10,71.835,
2005-01,72.022,
2005-04,73.208,
2005-07,73.131,
2005-10,73.284,
2006-01,73.609,
2006-04,77.455,
2006-07,74.248,
2006-10,76.277,
2007-01,79.352,
2007-04,77.233,
2007-07,69.936,
2007-10,69.723,
2008-01,66.555,
2008-04,65.955,
2008-07,65.848,
2008-10,66.024,
2009-01,65.646,
2009-04,66.630,
2009-07,68.079,
2009-10,71.899,
2010-01,72.182,
2010-04,71.415,
2010-07,68.815,
2010-10,68.941,
2011-01,68.162,
2011-04,67.482,
2011-07,63.923,
2011-10,64.014,
2012-01,63.688,
2012-04,65.258,
2012-07,65.498,
2012-10,69.184,
2013-01,68.689,
2013-04,67.004,
2013-07,67.433,
2013-10,72.084,
2014-01,71.631,
2014-04,71.634,
2014-07,72.160,
