"",BBK01.OECB04K,BBK01.OECB04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:18,
2002-01,7.541,
2002-04,7.406,
2002-07,7.378,
2002-10,7.270,
2003-01,6.877,
2003-04,6.747,
2003-07,6.629,
2003-10,6.455,
2004-01,6.600,
2004-04,6.767,
2004-07,6.537,
2004-10,10.910,
2005-01,9.882,
2005-04,9.940,
2005-07,10.273,
2005-10,10.383,
2006-01,10.537,
2006-04,10.644,
2006-07,10.828,
2006-10,10.919,
2007-01,10.956,
2007-04,11.129,
2007-07,11.553,
2007-10,11.817,
2008-01,12.138,
2008-04,12.914,
2008-07,13.805,
2008-10,13.921,
2009-01,14.034,
2009-04,17.418,
2009-07,17.456,
2009-10,17.668,
2010-01,18.128,
2010-04,18.998,
2010-07,17.928,
2010-10,18.551,
2011-01,18.148,
2011-04,18.078,
2011-07,19.008,
2011-10,19.799,
2012-01,19.813,
2012-04,25.107,
2012-07,24.612,
2012-10,29.914,
2013-01,29.544,
2013-04,28.468,
2013-07,27.916,
2013-10,26.777,
2014-01,26.356,
2014-04,25.911,
2014-07,26.337,
