"",BBK01.OECB10M,BBK01.OECB10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:39,
2002-01,3.044,
2002-04,3.035,
2002-07,2.365,
2002-10,2.320,
2003-01,2.574,
2003-04,2.156,
2003-07,1.930,
2003-10,1.683,
2004-01,1.761,
2004-04,1.669,
2004-07,1.516,
2004-10,1.855,
2005-01,1.889,
2005-04,1.887,
2005-07,1.907,
2005-10,1.569,
2006-01,1.697,
2006-04,1.761,
2006-07,1.777,
2006-10,2.057,
2007-01,1.815,
2007-04,1.728,
2007-07,1.657,
2007-10,2.062,
2008-01,1.999,
2008-04,2.033,
2008-07,2.019,
2008-10,1.882,
2009-01,1.961,
2009-04,1.762,
2009-07,1.565,
2009-10,1.335,
2010-01,1.544,
2010-04,1.625,
2010-07,1.641,
2010-10,1.544,
2011-01,1.800,
2011-04,1.756,
2011-07,1.823,
2011-10,1.703,
2012-01,1.887,
2012-04,1.981,
2012-07,1.798,
2012-10,1.765,
2013-01,1.964,
2013-04,1.970,
2013-07,1.972,
2013-10,1.958,
2014-01,1.960,
2014-04,2.072,
2014-07,1.943,
