"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.IE.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.IE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:05,
2009-09,18498,
2009-10,19005,
2009-11,19465,
2009-12,19917,
2010-01,20796,
2010-02,21408,
2010-03,22481,
2010-04,22173,
2010-05,22281,
2010-06,22275,
2010-07,22951,
2010-08,23410,
2010-09,22700,
2010-10,23008,
2010-11,22130,
2010-12,22078,
2011-01,22211,
2011-02,22260,
2011-03,22149,
2011-04,22162,
2011-05,22443,
2011-06,22401,
2011-07,22467,
2011-08,21702,
2011-09,21852,
2011-10,21706,
2011-11,21458,
2011-12,21421,
2012-01,22687,
2012-02,22987,
2012-03,23046,
2012-04,23376,
2012-05,23474,
2012-06,24009,
2012-07,24845,
2012-08,25283,
2012-09,26162,
2012-10,26055,
2012-11,26351,
2012-12,27852,
2013-01,28474,
2013-02,29945,
2013-03,31347,
2013-04,31541,
2013-05,31199,
2013-06,29767,
2013-07,30273,
2013-08,29697,
2013-09,30577,
2013-10,31856,
2013-11,32103,
2013-12,32245,
2014-01,32251,
2014-02,32931,
2014-03,33304,
2014-04,33866,
2014-05,34510,
2014-06,35258,
2014-07,35255,
2014-08,36107,
2014-09,36164,
2014-10,36118,
2014-11,37147,
