"",BBK01.CELS03,BBK01.CELS03_FLAGS
"",Savings certificates                                                        debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:09,
1999-01,2.9,
1999-04,3.2,
1999-07,3.3,
1999-10,1.9,
2000-01,2.8,
2000-04,1.6,
2000-07,0.7,
2000-10,0.0,
2001-01,1.2,
2001-04,0.2,
2001-07,-0.2,
2001-10,-1.0,
2002-01,-0.7,
2002-04,-0.2,
2002-07,-0.4,
2002-10,-0.4,
2003-01,-0.9,
2003-04,-0.1,
2003-07,-0.4,
2003-10,0.4,
2004-01,-0.2,
2004-04,-0.3,
2004-07,0.4,
2004-10,0.3,
2005-01,1.3,
2005-04,3.8,
2005-07,0.1,
2005-10,-1.2,
2006-01,-1.0,
2006-04,-1.3,
2006-07,-0.7,
2006-10,-1.5,
2007-01,-1.3,
2007-04,-1.1,
2007-07,-0.5,
2007-10,-1.5,
2008-01,-1.9,
2008-04,-1.2,
2008-07,-2.1,
2008-10,-2.1,
2009-01,-2.3,
2009-04,-2.0,
2009-07,-1.7,
2009-10,-2.1,
2010-01,-1.3,
2010-04,-0.6,
2010-07,0.5,
2010-10,-0.4,
2011-01,-1.2,
2011-04,-0.7,
2011-07,-0.5,
2011-10,-1.2,
2012-01,-1.3,
2012-04,-1.6,
2012-07,-1.1,
2012-10,-1.3,
2013-01,-0.7,
2013-04,-1.7,
2013-07,-1.0,
2013-10,-1.6,
2014-01,-1.7,
2014-04,-1.1,
2014-07,-1.0,
