"",BBK01.OEAH27M,BBK01.OEAH27M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:47,
2002-01,10.114,
2002-04,9.737,
2002-07,9.626,
2002-10,9.617,
2003-01,9.293,
2003-04,8.675,
2003-07,8.157,
2003-10,8.067,
2004-01,7.888,
2004-04,7.692,
2004-07,7.664,
2004-10,7.993,
2005-01,8.096,
2005-04,7.978,
2005-07,7.859,
2005-10,7.961,
2006-01,8.341,
2006-04,8.604,
2006-07,8.986,
2006-10,9.349,
2007-01,9.763,
2007-04,9.854,
2007-07,9.976,
2007-10,10.231,
2008-01,10.089,
2008-04,9.779,
2008-07,9.461,
2008-10,10.018,
2009-01,9.708,
2009-04,10.208,
2009-07,10.359,
2009-10,10.108,
2010-01,10.275,
2010-04,10.158,
2010-07,9.586,
2010-10,9.262,
2011-01,9.367,
2011-04,9.130,
2011-07,9.100,
2011-10,8.876,
2012-01,8.693,
2012-04,8.498,
2012-07,8.256,
2012-10,7.889,
2013-01,7.718,
2013-04,7.400,
2013-07,7.205,
2013-10,6.966,
2014-01,6.784,
2014-04,6.462,
2014-07,6.561,
