"",BBK01.OEAA09N,BBK01.OEAA09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:04,
2002-01,502.289,
2002-04,506.037,
2002-07,507.750,
2002-10,509.666,
2003-01,506.438,
2003-04,502.778,
2003-07,504.016,
2003-10,491.925,
2004-01,496.687,
2004-04,494.243,
2004-07,498.193,
2004-10,457.000,
2005-01,471.794,
2005-04,470.953,
2005-07,472.962,
2005-10,477.793,
2006-01,495.611,
2006-04,497.370,
2006-07,502.484,
2006-10,502.642,
2007-01,504.525,
2007-04,508.873,
2007-07,511.581,
2007-10,516.689,
2008-01,521.459,
2008-04,529.702,
2008-07,512.292,
2008-10,518.642,
2009-01,511.863,
2009-04,521.769,
2009-07,531.255,
2009-10,523.456,
2010-01,524.980,
2010-04,551.031,
2010-07,540.692,
2010-10,542.951,
2011-01,544.999,
2011-04,547.643,
2011-07,564.287,
2011-10,562.196,
2012-01,559.415,
2012-04,550.395,
2012-07,548.687,
2012-10,536.021,
2013-01,542.067,
2013-04,541.821,
2013-07,519.365,
2013-10,517.827,
2014-01,522.674,
2014-04,524.411,
2014-07,525.685,
