"",BBK01.OEAC47M,BBK01.OEAC47M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:36,
2002-01,6.060,
2002-04,6.038,
2002-07,5.834,
2002-10,5.764,
2003-01,5.640,
2003-04,5.640,
2003-07,5.617,
2003-10,5.510,
2004-01,5.337,
2004-04,5.299,
2004-07,5.290,
2004-10,5.160,
2005-01,5.090,
2005-04,4.966,
2005-07,4.939,
2005-10,4.916,
2006-01,4.881,
2006-04,4.845,
2006-07,4.744,
2006-10,4.765,
2007-01,4.917,
2007-04,4.890,
2007-07,4.795,
2007-10,4.838,
2008-01,4.780,
2008-04,4.831,
2008-07,4.907,
2008-10,4.939,
2009-01,4.905,
2009-04,4.997,
2009-07,4.997,
2009-10,4.901,
2010-01,5.298,
2010-04,5.305,
2010-07,5.243,
2010-10,4.977,
2011-01,5.020,
2011-04,5.048,
2011-07,5.067,
2011-10,5.054,
2012-01,5.043,
2012-04,4.993,
2012-07,5.034,
2012-10,4.947,
2013-01,4.895,
2013-04,4.768,
2013-07,4.807,
2013-10,4.803,
2014-01,4.797,
2014-04,4.732,
2014-07,4.705,
