"",BBK01.OEBI04U,BBK01.OEBI04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:36,
2002-01,1.229,
2002-04,1.163,
2002-07,1.160,
2002-10,1.091,
2003-01,1.043,
2003-04,1.003,
2003-07,1.024,
2003-10,1.008,
2004-01,0.977,
2004-04,0.790,
2004-07,0.847,
2004-10,0.793,
2005-01,0.761,
2005-04,0.769,
2005-07,0.828,
2005-10,0.806,
2006-01,0.884,
2006-04,0.926,
2006-07,1.045,
2006-10,1.241,
2007-01,1.396,
2007-04,1.487,
2007-07,1.687,
2007-10,1.842,
2008-01,1.877,
2008-04,2.069,
2008-07,2.214,
2008-10,1.893,
2009-01,1.289,
2009-04,1.232,
2009-07,0.971,
2009-10,0.772,
2010-01,0.726,
2010-04,0.719,
2010-07,0.622,
2010-10,0.619,
2011-01,0.723,
2011-04,0.797,
2011-07,0.846,
2011-10,1.313,
2012-01,1.589,
2012-04,1.657,
2012-07,1.598,
2012-10,1.477,
2013-01,1.342,
2013-04,1.374,
2013-07,1.325,
2013-10,1.169,
2014-01,1.404,
2014-04,1.389,
2014-07,1.083,
