"",BBK01.OEXJ03V,BBK01.OEXJ03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:40,
2002-01,0.511,
2002-04,0.503,
2002-07,0.522,
2002-10,0.478,
2003-01,0.563,
2003-04,0.442,
2003-07,0.496,
2003-10,0.491,
2004-01,0.464,
2004-04,0.358,
2004-07,0.361,
2004-10,0.375,
2005-01,0.362,
2005-04,0.377,
2005-07,0.397,
2005-10,0.447,
2006-01,0.431,
2006-04,0.468,
2006-07,0.554,
2006-10,0.538,
2007-01,0.650,
2007-04,0.773,
2007-07,0.856,
2007-10,0.874,
2008-01,0.945,
2008-04,1.019,
2008-07,1.055,
2008-10,0.807,
2009-01,0.571,
2009-04,0.500,
2009-07,0.374,
2009-10,0.320,
2010-01,0.317,
2010-04,0.307,
2010-07,0.310,
2010-10,0.335,
2011-01,0.359,
2011-04,0.378,
2011-07,0.494,
2011-10,0.878,
2012-01,1.052,
2012-04,1.173,
2012-07,1.241,
2012-10,1.260,
2013-01,1.266,
2013-04,1.259,
2013-07,1.248,
2013-10,1.233,
2014-01,1.166,
2014-04,1.254,
2014-07,1.174,
