"",BBK01.OEAJ10L,BBK01.OEAJ10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:57,
2002-01,1.189,
2002-04,1.083,
2002-07,1.066,
2002-10,0.972,
2003-01,0.934,
2003-04,0.978,
2003-07,0.939,
2003-10,0.437,
2004-01,0.448,
2004-04,0.354,
2004-07,0.333,
2004-10,0.309,
2005-01,0.306,
2005-04,0.298,
2005-07,0.293,
2005-10,0.418,
2006-01,0.402,
2006-04,0.404,
2006-07,0.559,
2006-10,0.550,
2007-01,0.648,
2007-04,0.584,
2007-07,0.591,
2007-10,0.628,
2008-01,0.621,
2008-04,0.610,
2008-07,0.219,
2008-10,0.322,
2009-01,0.339,
2009-04,0.490,
2009-07,0.497,
2009-10,0.493,
2010-01,0.478,
2010-04,0.400,
2010-07,0.375,
2010-10,0.375,
2011-01,0.296,
2011-04,0.593,
2011-07,0.563,
2011-10,0.552,
2012-01,0.364,
2012-04,0.367,
2012-07,0.420,
2012-10,0.367,
2013-01,0.340,
2013-04,0.325,
2013-07,0.307,
2013-10,0.292,
2014-01,0.245,
2014-04,0.210,
2014-07,0.195,
