"",BBK01.CEFEC3,BBK01.CEFEC3_FLAGS
"",short-term loans                                              debtor: General government                        creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:47,
1999-01,23.3,
1999-04,24.3,
1999-07,24.6,
1999-10,20.8,
2000-01,27.7,
2000-04,20.8,
2000-07,32.4,
2000-10,17.3,
2001-01,31.9,
2001-04,21.2,
2001-07,22.5,
2001-10,24.8,
2002-01,41.6,
2002-04,25.2,
2002-07,22.1,
2002-10,27.6,
2003-01,32.7,
2003-04,32.7,
2003-07,41.5,
2003-10,36.9,
2004-01,49.0,
2004-04,38.8,
2004-07,41.8,
2004-10,34.2,
2005-01,36.2,
2005-04,38.2,
2005-07,37.0,
2005-10,33.4,
2006-01,39.0,
2006-04,36.1,
2006-07,37.7,
2006-10,35.2,
2007-01,39.6,
2007-04,38.2,
2007-07,38.1,
2007-10,38.0,
2008-01,41.7,
2008-04,42.8,
2008-07,42.9,
2008-10,49.1,
2009-01,48.6,
2009-04,44.7,
2009-07,49.8,
2009-10,46.2,
2010-01,51.6,
2010-04,63.7,
2010-07,62.7,
2010-10,124.3,
2011-01,119.6,
2011-04,104.8,
2011-07,96.8,
2011-10,77.8,
2012-01,91.2,
2012-04,107.5,
2012-07,113.1,
2012-10,97.1,
2013-01,88.7,
2013-04,76.4,
2013-07,85.3,
2013-10,91.4,
2014-01,86.1,
2014-04,83.1,
2014-07,85.7,
