"",BBK01.OEAG03V,BBK01.OEAG03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:41,
2002-01,2.096,
2002-04,2.350,
2002-07,2.200,
2002-10,3.295,
2003-01,2.684,
2003-04,2.856,
2003-07,2.907,
2003-10,3.245,
2004-01,3.168,
2004-04,3.483,
2004-07,3.731,
2004-10,3.731,
2005-01,3.963,
2005-04,3.995,
2005-07,4.183,
2005-10,4.209,
2006-01,4.025,
2006-04,4.130,
2006-07,4.171,
2006-10,4.316,
2007-01,4.242,
2007-04,4.149,
2007-07,4.091,
2007-10,4.391,
2008-01,3.457,
2008-04,2.111,
2008-07,2.545,
2008-10,2.541,
2009-01,2.084,
2009-04,2.203,
2009-07,2.223,
2009-10,2.265,
2010-01,2.306,
2010-04,2.478,
2010-07,2.758,
2010-10,2.879,
2011-01,2.792,
2011-04,2.743,
2011-07,2.698,
2011-10,2.731,
2012-01,2.633,
2012-04,2.623,
2012-07,2.596,
2012-10,2.577,
2013-01,2.427,
2013-04,2.437,
2013-07,2.424,
2013-10,2.190,
2014-01,2.084,
2014-04,1.976,
2014-07,1.817,
