"",BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:57,
1991-01,38.508,
1991-04,37.610,
1991-07,33.389,
1991-10,38.961,
1992-01,21.902,
1992-04,30.636,
1992-07,31.040,
1992-10,31.589,
1993-01,-0.104,
1993-04,-1.634,
1993-07,-19.363,
1993-10,-15.722,
1994-01,27.352,
1994-04,27.435,
1994-07,24.101,
1994-10,-90.866,
1995-01,16.123,
1995-04,17.159,
1995-07,17.210,
1995-10,17.210,
1996-01,-14.808,
1996-04,-15.115,
1996-07,-14.808,
1996-10,-22.518,
1997-01,25.818,
1997-04,25.775,
1997-07,25.818,
1997-10,25.818,
1998-01,12.783,
1998-04,12.783,
1998-07,12.783,
1998-10,12.783,
1999-01,12.000,
1999-04,11.000,
1999-07,4.061,
1999-10,9.000,
2000-01,36.000,
2000-04,33.972,
2000-07,33.000,
2000-10,32.974,
2001-01,15.941,
2001-04,-211.186,
2001-07,-76.736,
2001-10,-13.059,
2002-01,17.664,
2002-04,11.385,
2002-07,5.976,
2002-10,-67.814,
2003-01,-19.423,
2003-04,-107.051,
2003-07,-2.887,
2003-10,-36.740,
2004-01,287.504,
2004-04,224.888,
2004-07,135.859,
2004-10,217.614,
2005-01,66.871,
2005-04,31.351,
2005-07,23.519,
2005-10,-26.829,
2006-01,1.527,
2006-04,-47.059,
2006-07,8.840,
2006-10,13.989,
2007-01,200.925,
2007-04,138.050,
2007-07,131.323,
2007-10,2.811,
2008-01,-84.444,
2008-04,62.067,
2008-07,-138.045,
2008-10,44.445,
2009-01,136.290,
2009-04,-49.879,
2009-07,116.948,
2009-10,64.477,
2010-01,187.460,
2010-04,-156.008,
2010-07,209.935,
2010-10,49.941,
2011-01,-284.110,
2011-04,-377.478,
2011-07,-239.060,
2011-10,-331.249,
2012-01,-221.931,
2012-04,-325.072,
2012-07,-619.483,
2012-10,-308.462,
2013-01,231.096,
2013-04,17.966,
2013-07,154.789,
2013-10,178.986,
2014-01,226.400,Provisional value
2014-04,187.579,Provisional value
2014-07,174.934,Provisional value
2014-10,200.895,Provisional value
