"",BBDE1.M.DE.Y.GUA1.P2XG71020.A.V.I10.A,BBDE1.M.DE.Y.GUA1.P2XG71020.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.11+47.2+47.81 Retail trade of groceries, beverages and tobacco / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:03,
1994-01,83.3,
1994-02,82.7,
1994-03,82.4,
1994-04,81.4,
1994-05,80.7,
1994-06,81.1,
1994-07,82.1,
1994-08,80.8,
1994-09,81.4,
1994-10,81.2,
1994-11,81.6,
1994-12,83.0,
1995-01,82.4,
1995-02,84.1,
1995-03,85.4,
1995-04,84.2,
1995-05,85.4,
1995-06,86.7,
1995-07,86.3,
1995-08,86.5,
1995-09,85.7,
1995-10,83.6,
1995-11,84.2,
1995-12,84.9,
1996-01,85.0,
1996-02,85.9,
1996-03,83.5,
1996-04,85.2,
1996-05,83.7,
1996-06,85.0,
1996-07,84.4,
1996-08,85.0,
1996-09,84.2,
1996-10,85.7,
1996-11,84.7,
1996-12,84.0,
1997-01,84.3,
1997-02,82.8,
1997-03,82.6,
1997-04,83.8,
1997-05,83.9,
1997-06,83.1,
1997-07,82.9,
1997-08,84.3,
1997-09,84.4,
1997-10,85.9,
1997-11,83.7,
1997-12,83.3,
1998-01,84.1,
1998-02,83.9,
1998-03,83.1,
1998-04,85.3,
1998-05,85.6,
1998-06,83.3,
1998-07,84.4,
1998-08,84.9,
1998-09,85.1,
1998-10,84.1,
1998-11,87.0,
1998-12,86.3,
1999-01,86.1,
1999-02,85.9,
1999-03,86.6,
1999-04,83.6,
1999-05,84.4,
1999-06,84.1,
1999-07,85.2,
1999-08,84.4,
1999-09,84.8,
1999-10,85.1,
1999-11,85.8,
1999-12,86.8,
2000-01,86.1,
2000-02,87.0,
2000-03,87.5,
2000-04,86.5,
2000-05,87.0,
2000-06,87.4,
2000-07,85.7,
2000-08,86.1,
2000-09,86.7,
2000-10,87.2,
2000-11,87.4,
2000-12,88.0,
2001-01,89.1,
2001-02,87.8,
2001-03,90.2,
2001-04,90.3,
2001-05,91.5,
2001-06,91.7,
2001-07,91.2,
2001-08,91.1,
2001-09,91.4,
2001-10,91.2,
2001-11,91.8,
2001-12,91.7,
2002-01,91.7,
2002-02,91.7,
2002-03,92.6,
2002-04,94.3,
2002-05,92.9,
2002-06,92.4,
2002-07,92.7,
2002-08,93.5,
2002-09,94.6,
2002-10,94.2,
2002-11,93.5,
2002-12,93.5,
2003-01,92.0,
2003-02,92.7,
2003-03,94.2,
2003-04,93.1,
2003-05,94.4,
2003-06,94.5,
2003-07,94.7,
2003-08,95.7,
2003-09,95.9,
2003-10,97.1,
2003-11,96.7,
2003-12,95.7,
2004-01,97.1,
2004-02,96.7,
2004-03,96.8,
2004-04,97.2,
2004-05,96.1,
2004-06,96.9,
2004-07,98.4,
2004-08,98.6,
2004-09,97.6,
2004-10,98.0,
2004-11,99.0,
2004-12,99.7,
2005-01,100.7,
2005-02,101.5,
2005-03,100.5,
2005-04,99.6,
2005-05,100.9,
2005-06,101.6,
2005-07,100.0,
2005-08,100.3,
2005-09,100.3,
2005-10,100.5,
2005-11,100.7,
2005-12,100.6,
2006-01,99.9,
2006-02,101.9,
2006-03,100.2,
2006-04,100.0,
2006-05,100.9,
2006-06,102.4,
2006-07,104.5,
2006-08,100.6,
2006-09,100.2,
2006-10,98.4,
2006-11,99.4,
2006-12,100.5,
2007-01,101.1,
2007-02,101.7,
2007-03,100.7,
2007-04,102.0,
2007-05,99.6,
2007-06,99.4,
2007-07,100.2,
2007-08,99.5,
2007-09,100.2,
2007-10,101.4,
2007-11,100.2,
2007-12,96.4,
2008-01,101.3,
2008-02,101.0,
2008-03,101.1,
2008-04,100.8,
2008-05,100.6,
2008-06,100.2,
2008-07,100.4,
2008-08,102.7,
2008-09,102.8,
2008-10,102.8,
2008-11,102.4,
2008-12,100.0,
2009-01,99.6,
2009-02,98.9,
2009-03,98.8,
2009-04,100.9,
2009-05,101.0,
2009-06,97.6,
2009-07,98.1,
2009-08,101.7,
2009-09,99.1,
2009-10,98.0,
2009-11,98.3,
2009-12,99.9,
2010-01,100.7,
2010-02,99.3,
2010-03,100.5,
2010-04,97.9,
2010-05,99.7,
2010-06,99.5,
2010-07,102.0,
2010-08,99.8,
2010-09,99.8,
2010-10,100.6,
2010-11,100.6,
2010-12,101.8,
2011-01,101.0,
2011-02,101.7,
2011-03,101.5,
2011-04,102.7,
2011-05,99.2,
2011-06,103.2,
2011-07,102.7,
2011-08,102.8,
2011-09,103.4,
2011-10,103.7,
2011-11,103.6,
2011-12,104.0,
2012-01,102.7,
2012-02,104.2,
2012-03,103.7,
2012-04,105.3,
2012-05,105.3,
2012-06,105.1,
2012-07,103.9,
2012-08,106.0,
2012-09,107.9,
2012-10,105.9,
2012-11,106.4,
2012-12,105.7,
2013-01,108.2,
2013-02,107.9,
2013-03,108.4,
2013-04,106.9,
2013-05,108.7,
2013-06,109.2,
2013-07,110.8,
2013-08,110.2,
2013-09,109.2,
2013-10,109.7,
2013-11,111.5,
2013-12,107.9,
2014-01,110.1,Provisional value
2014-02,110.8,Provisional value
2014-03,112.0,Provisional value
2014-04,111.9,Provisional value
2014-05,110.2,Provisional value
2014-06,112.8,Provisional value
2014-07,111.2,Provisional value
2014-08,110.9,Provisional value
2014-09,111.9,Provisional value
2014-10,112.5,Provisional value
2014-11,112.2,Provisional value
2014-12,111.9,Provisional value
