"",BBK01.OEHB16G,BBK01.OEHB16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:08,
2002-01,15.086,
2002-04,15.017,
2002-07,14.600,
2002-10,14.569,
2003-01,14.268,
2003-04,14.223,
2003-07,14.306,
2003-10,14.356,
2004-01,14.349,
2004-04,14.418,
2004-07,14.389,
2004-10,14.452,
2005-01,14.431,
2005-04,14.370,
2005-07,14.472,
2005-10,14.516,
2006-01,14.579,
2006-04,14.650,
2006-07,14.697,
2006-10,14.938,
2007-01,14.917,
2007-04,15.111,
2007-07,15.262,
2007-10,15.338,
2008-01,15.261,
2008-04,15.342,
2008-07,15.538,
2008-10,15.679,
2009-01,15.594,
2009-04,15.827,
2009-07,15.901,
2009-10,16.100,
2010-01,15.991,
2010-04,16.251,
2010-07,16.346,
2010-10,16.486,
2011-01,16.329,
2011-04,16.461,
2011-07,16.565,
2011-10,16.654,
2012-01,16.633,
2012-04,16.766,
2012-07,16.928,
2012-10,16.937,
2013-01,16.939,
2013-04,17.057,
2013-07,17.158,
2013-10,17.142,
2014-01,17.133,
2014-04,17.191,
2014-07,17.246,
