"",BBK01.OEXB16T,BBK01.OEXB16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:16,
2002-01,0.420,
2002-04,0.426,
2002-07,0.428,
2002-10,0.426,
2003-01,0.423,
2003-04,0.418,
2003-07,0.416,
2003-10,0.414,
2004-01,0.408,
2004-04,0.411,
2004-07,0.406,
2004-10,0.348,
2005-01,0.345,
2005-04,0.346,
2005-07,0.332,
2005-10,0.327,
2006-01,0.321,
2006-04,0.331,
2006-07,0.341,
2006-10,0.334,
2007-01,0.340,
2007-04,0.345,
2007-07,0.368,
2007-10,0.411,
2008-01,0.382,
2008-04,0.389,
2008-07,0.388,
2008-10,0.403,
2009-01,0.444,
2009-04,0.449,
2009-07,0.464,
2009-10,0.469,
2010-01,0.472,
2010-04,0.481,
2010-07,0.493,
2010-10,0.495,
2011-01,0.481,
2011-04,0.492,
2011-07,0.505,
2011-10,0.508,
2012-01,0.506,
2012-04,0.509,
2012-07,0.513,
2012-10,0.518,
2013-01,0.520,
2013-04,0.518,
2013-07,0.519,
2013-10,0.522,
2014-01,0.522,
2014-04,0.513,
2014-07,0.516,
