"",BBK01.OEBL05U,BBK01.OEBL05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:31,
2002-01,0.037,
2002-04,0.039,
2002-07,0.035,
2002-10,0.037,
2003-01,0.036,
2003-04,0.037,
2003-07,0.037,
2003-10,0.033,
2004-01,0.032,
2004-04,0.032,
2004-07,0.032,
2004-10,0.014,
2005-01,0.066,
2005-04,0.062,
2005-07,0.062,
2005-10,0.059,
2006-01,0.058,
2006-04,0.059,
2006-07,0.060,
2006-10,0.071,
2007-01,0.070,
2007-04,0.070,
2007-07,0.069,
2007-10,0.068,
2008-01,0.063,
2008-04,0.060,
2008-07,0.059,
2008-10,0.062,
2009-01,0.068,
2009-04,0.076,
2009-07,0.087,
2009-10,0.094,
2010-01,0.099,
2010-04,0.099,
2010-07,0.100,
2010-10,0.101,
2011-01,0.109,
2011-04,0.099,
2011-07,0.090,
2011-10,0.092,
2012-01,0.093,
2012-04,0.091,
2012-07,0.082,
2012-10,0.083,
2013-01,0.071,
2013-04,0.075,
2013-07,0.074,
2013-10,0.076,
2014-01,0.075,
2014-04,0.071,
2014-07,0.069,
