"",BBK01.OEXB16U,BBK01.OEXB16U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:27,
2002-01,0.459,
2002-04,0.463,
2002-07,0.464,
2002-10,0.484,
2003-01,0.475,
2003-04,0.477,
2003-07,0.477,
2003-10,0.479,
2004-01,0.475,
2004-04,0.474,
2004-07,0.472,
2004-10,0.477,
2005-01,0.478,
2005-04,0.468,
2005-07,0.466,
2005-10,0.454,
2006-01,0.457,
2006-04,0.468,
2006-07,0.465,
2006-10,0.472,
2007-01,0.472,
2007-04,0.462,
2007-07,0.463,
2007-10,0.508,
2008-01,0.473,
2008-04,0.473,
2008-07,0.473,
2008-10,0.490,
2009-01,0.484,
2009-04,0.496,
2009-07,0.497,
2009-10,0.506,
2010-01,0.508,
2010-04,0.514,
2010-07,0.528,
2010-10,0.546,
2011-01,0.541,
2011-04,0.545,
2011-07,0.546,
2011-10,0.550,
2012-01,0.555,
2012-04,0.557,
2012-07,0.561,
2012-10,0.559,
2013-01,0.565,
2013-04,0.567,
2013-07,0.569,
2013-10,0.587,
2014-01,0.587,
2014-04,0.570,
2014-07,0.570,
