"",BBK01.OEHB07J,BBK01.OEHB07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:30,
2002-01,0.627,
2002-04,0.682,
2002-07,0.598,
2002-10,0.599,
2003-01,0.596,
2003-04,0.505,
2003-07,0.485,
2003-10,0.492,
2004-01,0.561,
2004-04,0.621,
2004-07,0.629,
2004-10,0.592,
2005-01,0.559,
2005-04,0.582,
2005-07,0.574,
2005-10,0.611,
2006-01,0.586,
2006-04,0.617,
2006-07,0.649,
2006-10,0.586,
2007-01,0.574,
2007-04,0.553,
2007-07,0.588,
2007-10,0.584,
2008-01,0.589,
2008-04,0.622,
2008-07,0.596,
2008-10,0.499,
2009-01,0.466,
2009-04,0.483,
2009-07,0.501,
2009-10,0.573,
2010-01,0.555,
2010-04,0.567,
2010-07,0.564,
2010-10,0.596,
2011-01,0.589,
2011-04,0.548,
2011-07,0.535,
2011-10,0.560,
2012-01,0.503,
2012-04,0.500,
2012-07,0.536,
2012-10,0.542,
2013-01,0.537,
2013-04,0.564,
2013-07,0.570,
2013-10,0.563,
2014-01,0.527,
2014-04,0.521,
2014-07,0.541,
