"",BBSF2.M.1.T.00000.DGW01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.DGW01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:37,
2009-09,320,
2009-10,225,
2009-11,180,
2009-12,266,
2010-01,406,
2010-02,540,
2010-03,501,
2010-04,629,
2010-05,448,
2010-06,568,
2010-07,476,
2010-08,536,
2010-09,229,
2010-10,258,
2010-11,333,
2010-12,370,
2011-01,433,
2011-02,453,
2011-03,591,
2011-04,475,
2011-05,431,
2011-06,469,
2011-07,493,
2011-08,644,
2011-09,904,
2011-10,429,
2011-11,585,
2011-12,663,
2012-01,528,
2012-02,613,
2012-03,584,
2012-04,494,
2012-05,456,
2012-06,396,
2012-07,254,
2012-08,409,
2012-09,304,
2012-10,299,
2012-11,300,
2012-12,186,
2013-01,186,
2013-02,180,
2013-03,96,
2013-04,101,
2013-05,287,
2013-06,534,
2013-07,311,
2013-08,180,
2013-09,238,
2013-10,149,
2013-11,175,
2013-12,339,
2014-01,187,
2014-02,131,
2014-03,128,
2014-04,169,
2014-05,121,
2014-06,185,
2014-07,251,
2014-08,273,
2014-09,168,
2014-10,190,
2014-11,113,
