"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:51,
2009-09,184790,
2009-10,184893,
2009-11,187055,
2009-12,190763,
2010-01,191270,
2010-02,192432,
2010-03,197123,
2010-04,200148,
2010-05,202162,
2010-06,202871,
2010-07,203458,
2010-08,211025,
2010-09,211886,
2010-10,212432,
2010-11,213723,
2010-12,218449,
2011-01,215421,
2011-02,220681,
2011-03,218588,
2011-04,219806,
2011-05,219980,
2011-06,219727,
2011-07,222879,
2011-08,217458,
2011-09,216243,
2011-10,220468,
2011-11,222039,
2011-12,227400,
2012-01,226167,
2012-02,233496,
2012-03,232576,
2012-04,234947,
2012-05,233564,
2012-06,234116,
2012-07,247683,
2012-08,249682,
2012-09,249952,
2012-10,251128,
2012-11,252004,
2012-12,257567,
2013-01,256525,
2013-02,259665,
2013-03,262160,
2013-04,266357,
2013-05,264291,
2013-06,257120,
2013-07,263911,
2013-08,262398,
2013-09,265256,
2013-10,269442,
2013-11,272093,
2013-12,270598,
2014-01,269593,
2014-02,272509,
2014-03,271977,
2014-04,272284,
2014-05,274557,
2014-06,276141,
2014-07,280033,
2014-08,286020,
2014-09,284876,
2014-10,288567,
2014-11,294771,
