"",BBK01.OEAC28H,BBK01.OEAC28H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:29,
2002-01,1.871,
2002-04,1.773,
2002-07,1.768,
2002-10,1.748,
2003-01,1.563,
2003-04,1.435,
2003-07,1.454,
2003-10,1.504,
2004-01,1.357,
2004-04,1.212,
2004-07,1.113,
2004-10,1.078,
2005-01,1.019,
2005-04,0.922,
2005-07,0.973,
2005-10,0.930,
2006-01,1.053,
2006-04,1.044,
2006-07,1.089,
2006-10,0.899,
2007-01,0.909,
2007-04,0.825,
2007-07,0.849,
2007-10,0.770,
2008-01,0.743,
2008-04,0.672,
2008-07,0.751,
2008-10,0.645,
2009-01,0.699,
2009-04,0.681,
2009-07,0.647,
2009-10,0.659,
2010-01,0.615,
2010-04,0.545,
2010-07,0.576,
2010-10,0.652,
2011-01,0.662,
2011-04,0.657,
2011-07,0.659,
2011-10,0.569,
2012-01,0.618,
2012-04,0.565,
2012-07,0.683,
2012-10,0.707,
2013-01,0.749,
2013-04,0.643,
2013-07,0.677,
2013-10,0.711,
2014-01,0.755,
2014-04,0.768,
2014-07,0.834,
