"",BBFN1.M.DE.N.1.L.ZA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ZA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / South Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:49,
1994-12,0.279,
1995-01,0.265,
1995-02,0.274,
1995-03,0.286,
1995-04,0.290,
1995-05,0.265,
1995-06,0.264,
1995-07,0.308,
1995-08,0.347,
1995-09,0.339,
1995-10,0.324,
1995-11,0.351,
1995-12,0.373,
1996-01,0.296,
1996-02,0.316,
1996-03,0.318,
1996-04,0.268,
1996-05,0.296,
1996-06,0.289,
1996-07,0.303,
1996-08,0.301,
1996-09,0.293,
1996-10,0.314,
1996-11,0.313,
1996-12,0.333,
1997-01,0.345,
1997-02,0.603,
1997-03,0.571,
1997-04,0.570,
1997-05,0.595,
1997-06,0.368,
1997-07,0.385,
1997-08,0.404,
1997-09,0.425,
1997-10,0.544,
1997-11,0.531,
1997-12,0.539,
1998-01,0.554,
1998-02,0.584,
1998-03,0.576,
1998-04,0.612,
1998-05,0.603,
1998-06,0.580,
1998-07,0.622,
1998-08,0.615,
1998-09,0.625,
1998-10,0.640,
1998-11,0.636,
1998-12,0.625,
1999-01,0.601,
1999-02,0.628,
1999-03,0.624,
1999-04,0.651,
1999-05,0.720,
1999-06,0.578,
1999-07,0.556,
1999-08,0.606,
1999-09,0.534,
1999-10,0.577,
1999-11,0.519,
1999-12,0.544,
2000-01,0.568,
2000-02,0.601,
2000-03,0.650,
2000-04,0.553,
2000-05,0.622,
2000-06,0.599,
2000-07,0.590,
2000-08,0.862,
2000-09,0.706,
2000-10,0.716,
2000-11,0.691,
2000-12,0.699,
2001-01,0.628,
2001-02,1.232,
2001-03,1.192,
2001-04,1.165,
2001-05,1.133,
2001-06,1.239,
2001-07,1.206,
2001-08,1.084,
2001-09,1.109,
2001-10,1.150,
2001-11,1.132,
2001-12,1.134,
2002-01,1.089,
2002-02,1.096,
2002-03,1.076,
2002-04,1.118,
2002-05,1.147,
2002-06,0.753,
2002-07,0.804,
2002-08,0.824,
2002-09,0.782,
2002-10,0.815,
2002-11,0.839,
2002-12,0.793,
2003-01,0.912,
2003-02,0.830,
2003-03,0.814,
2003-04,0.747,
2003-05,0.788,
2003-06,0.806,
2003-07,0.902,
2003-08,0.853,
2003-09,0.875,
2003-10,0.915,
2003-11,0.951,
2003-12,0.918,
2004-01,0.838,
2004-02,0.882,
2004-03,0.875,
2004-04,0.916,
2004-05,0.950,
2004-06,0.932,
2004-07,0.987,
2004-08,1.021,
2004-09,1.022,
2004-10,1.048,
2004-11,1.083,
2004-12,1.027,
2005-01,1.101,
2005-02,1.128,
2005-03,1.035,
2005-04,0.909,
2005-05,1.005,
2005-06,0.875,
2005-07,0.930,
2005-08,0.995,
2005-09,0.867,
2005-10,0.907,
2005-11,0.867,
2005-12,0.826,
2006-01,0.854,
2006-02,0.928,
2006-03,0.915,
2006-04,0.906,
2006-05,0.868,
2006-06,0.900,
2006-07,0.973,
2006-08,1.020,
2006-09,0.965,
2006-10,1.033,
2006-11,1.021,
2006-12,1.085,
2007-01,1.064,
2007-02,1.076,
2007-03,1.146,
2007-04,1.154,
2007-05,1.143,
2007-06,1.003,
2007-07,1.007,
2007-08,1.066,
2007-09,1.000,
2007-10,0.997,
2007-11,1.165,
2007-12,1.041,
2008-01,1.157,
2008-02,1.204,
2008-03,1.113,
2008-04,1.148,
2008-05,1.175,
2008-06,1.247,
2008-07,1.256,
2008-08,1.275,
2008-09,1.319,
2008-10,1.338,
2008-11,1.104,
2008-12,1.072,
2009-01,1.128,
2009-02,1.039,
2009-03,1.071,
2009-04,1.097,
2009-05,1.155,
2009-06,1.164,
2009-07,1.186,
2009-08,1.208,
2009-09,1.298,
2009-10,1.343,
2009-11,1.327,
2009-12,1.221,
2010-01,1.290,
2010-02,1.320,
2010-03,1.427,
2010-04,1.405,
2010-05,1.448,
2010-06,1.492,
2010-07,1.566,
2010-08,1.552,
2010-09,1.592,
2010-10,1.673,
2010-11,1.671,
2010-12,1.637,
2011-01,1.614,
2011-02,1.713,
2011-03,1.720,
2011-04,1.685,
2011-05,1.778,
2011-06,1.816,
2011-07,1.832,
2011-08,1.835,
2011-09,1.863,
2011-10,1.836,
2011-11,1.895,
2011-12,1.800,
2012-01,1.900,
2012-02,1.964,
2012-03,1.997,
2012-04,1.997,
2012-05,2.046,
2012-06,2.033,
2012-07,2.067,
2012-08,2.100,
2012-09,2.118,
2012-10,2.047,
2012-11,2.152,
2012-12,2.125,
2013-01,2.200,
2013-02,2.157,
2013-03,2.160,
2013-04,2.214,
2013-05,2.264,
2013-06,2.269,
2013-07,2.229,
2013-08,2.176,
2013-09,2.281,
2013-10,2.349,
2013-11,2.420,
2013-12,2.343,
2014-01,2.430,
2014-02,2.415,
2014-03,2.452,
2014-04,2.401,
2014-05,2.483,
2014-06,2.469,
2014-07,2.466,
2014-08,2.518,
2014-09,2.463,
2014-10,2.496,
2014-11,2.770,
2014-12,2.455,
