"",BBK01.OEHJ04L,BBK01.OEHJ04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:33,
2002-01,1.285,
2002-04,1.358,
2002-07,1.326,
2002-10,1.187,
2003-01,1.148,
2003-04,1.031,
2003-07,1.053,
2003-10,1.103,
2004-01,1.059,
2004-04,0.967,
2004-07,0.997,
2004-10,1.055,
2005-01,0.966,
2005-04,0.973,
2005-07,0.913,
2005-10,1.006,
2006-01,0.995,
2006-04,1.099,
2006-07,1.127,
2006-10,1.242,
2007-01,1.377,
2007-04,1.372,
2007-07,1.572,
2007-10,1.511,
2008-01,1.578,
2008-04,1.700,
2008-07,1.868,
2008-10,2.032,
2009-01,1.747,
2009-04,1.519,
2009-07,1.222,
2009-10,1.124,
2010-01,0.957,
2010-04,0.942,
2010-07,0.980,
2010-10,0.954,
2011-01,1.002,
2011-04,1.026,
2011-07,1.188,
2011-10,1.336,
2012-01,1.270,
2012-04,1.128,
2012-07,1.081,
2012-10,0.827,
2013-01,0.710,
2013-04,0.696,
2013-07,0.729,
2013-10,0.862,
2014-01,0.811,
2014-04,0.850,
2014-07,0.752,
