"",BBFB1.Q.N.DE.PT.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:28,
1991-01,148.655,
1991-04,-4.696,
1991-07,169.954,
1991-10,287.222,
1992-01,455.966,
1992-04,1186.013,
1992-07,497.360,
1992-10,-381.527,
1993-01,377.262,
1993-04,-353.915,
1993-07,926.405,
1993-10,524.010,
1994-01,225.355,
1994-04,-38.513,
1994-07,-84.611,
1994-10,-262.202,
1995-01,1621.963,
1995-04,180.156,
1995-07,358.660,
1995-10,-346.015,
1996-01,2242.496,
1996-04,-151.493,
1996-07,-294.422,
1996-10,-1635.732,
1997-01,1490.006,
1997-04,223.166,
1997-07,1247.933,
1997-10,500.627,
1998-01,2892.924,
1998-04,592.517,
1998-07,2197.437,
1998-10,1245.043,
1999-01,5589.047,
1999-04,981.612,
1999-07,2698.064,
1999-10,1066.143,
2000-01,2453.411,
2000-04,1949.079,
2000-07,-2718.896,
2000-10,-833.610,
2001-01,4591.146,
2001-04,-194.048,
2001-07,1496.065,
2001-10,467.257,
2002-01,3797.624,
2002-04,5071.952,
2002-07,-803.939,
2002-10,-4819.391,
2003-01,1147.514,
2003-04,2224.348,
2003-07,81.662,
2003-10,-4192.824,
2004-01,2285.501,
2004-04,1938.003,
2004-07,-1476.702,
2004-10,1511.359,
2005-01,901.956,
2005-04,-610.688,
2005-07,6270.299,
2005-10,682.360,
2006-01,2152.783,
2006-04,-2547.816,
2006-07,-33.687,
2006-10,2156.608,
2007-01,1799.835,
2007-04,4668.898,
2007-07,-1118.642,
2007-10,-290.772,
2008-01,982.277,
2008-04,-1182.793,
2008-07,1482.580,
2008-10,-3556.285,
2009-01,-1913.747,
2009-04,708.469,
2009-07,1571.736,
2009-10,1039.621,
2010-01,804.452,
2010-04,-667.302,
2010-07,-1068.678,
2010-10,2529.988,
2011-01,-9.253,
2011-04,-2669.149,
2011-07,-2867.112,
2011-10,-2351.049,
2012-01,-2716.849,
2012-04,-799.723,
2012-07,-392.314,
2012-10,-1326.864,
2013-01,1026.327,
2013-04,559.909,
2013-07,-1577.420,
2013-10,652.278,
2014-01,839.532,Provisional value
2014-04,-478.356,Provisional value
2014-07,87.531,Provisional value
2014-10,-636.805,Provisional value
