"",BBK01.OECB20J,BBK01.OECB20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:15,
2002-01,0.743,
2002-04,0.742,
2002-07,0.743,
2002-10,0.742,
2003-01,0.747,
2003-04,0.743,
2003-07,0.749,
2003-10,0.747,
2004-01,0.742,
2004-04,0.748,
2004-07,0.753,
2004-10,0.759,
2005-01,0.892,
2005-04,0.896,
2005-07,0.907,
2005-10,0.908,
2006-01,0.914,
2006-04,0.909,
2006-07,0.917,
2006-10,0.913,
2007-01,0.899,
2007-04,0.914,
2007-07,0.915,
2007-10,0.909,
2008-01,0.905,
2008-04,0.905,
2008-07,0.910,
2008-10,0.926,
2009-01,0.934,
2009-04,0.938,
2009-07,0.945,
2009-10,0.939,
2010-01,0.947,
2010-04,0.947,
2010-07,0.948,
2010-10,0.943,
2011-01,0.937,
2011-04,0.925,
2011-07,0.923,
2011-10,0.950,
2012-01,0.951,
2012-04,0.967,
2012-07,0.970,
2012-10,0.972,
2013-01,0.983,
2013-04,0.994,
2013-07,1.007,
2013-10,1.021,
2014-01,1.027,
2014-04,1.035,
2014-07,1.051,
