"",BBK01.OEBB18G,BBK01.OEBB18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:39,
2002-01,2.459,
2002-04,2.643,
2002-07,2.661,
2002-10,2.623,
2003-01,2.599,
2003-04,2.568,
2003-07,2.630,
2003-10,2.606,
2004-01,2.661,
2004-04,2.453,
2004-07,2.474,
2004-10,2.401,
2005-01,1.608,
2005-04,1.613,
2005-07,1.190,
2005-10,1.190,
2006-01,1.166,
2006-04,1.181,
2006-07,1.200,
2006-10,1.130,
2007-01,1.126,
2007-04,1.150,
2007-07,1.090,
2007-10,1.129,
2008-01,1.112,
2008-04,1.029,
2008-07,1.034,
2008-10,1.130,
2009-01,1.043,
2009-04,1.043,
2009-07,1.037,
2009-10,1.014,
2010-01,0.998,
2010-04,0.954,
2010-07,0.985,
2010-10,0.944,
2011-01,0.936,
2011-04,0.888,
2011-07,0.899,
2011-10,0.895,
2012-01,0.866,
2012-04,0.840,
2012-07,0.821,
2012-10,0.903,
2013-01,0.884,
2013-04,0.887,
2013-07,0.882,
2013-10,0.898,
2014-01,0.875,
2014-04,0.912,
2014-07,0.936,
