"",BBK01.BJ9068,BBK01.BJ9068_FLAGS
"",General government debt as defined in the Maastricht Treaty - Germany - social security funds,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:18,
1991,210,
1992,332,
1993,394,
1994,649,
1995,818,
1996,971,
1997,1130,
1998,1503,
1999,2168,
2000,1876,
2001,2272,
2002,2982,
2003,5275,
2004,4239,
2005,2691,
2006,1747,
2007,1558,
2008,1454,
2009,1315,
2010,1346,Provisional value
2011,1331,Provisional value
2012,1171,Provisional value
2013,1287,Provisional value
