"",BBSF2.M.1.T.00000.ALT01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.ALT01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Pension investment funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:17,
2009-09,558,
2009-10,548,
2009-11,550,
2009-12,570,
2010-01,289,
2010-02,291,
2010-03,308,
2010-04,298,
2010-05,289,
2010-06,286,
2010-07,379,
2010-08,370,
2010-09,375,
2010-10,382,
2010-11,389,
2010-12,397,
2011-01,395,
2011-02,413,
2011-03,402,
2011-04,414,
2011-05,408,
2011-06,407,
2011-07,401,
2011-08,385,
2011-09,525,
2011-10,.,No value available
2011-11,534,
2011-12,536,
2012-01,563,
2012-02,574,
2012-03,547,
2012-04,530,
2012-05,517,
2012-06,506,
2012-07,521,
2012-08,528,
2012-09,534,
2012-10,540,
2012-11,506,
2012-12,531,
2013-01,526,
2013-02,526,
2013-03,525,
2013-04,518,
2013-05,519,
2013-06,514,
2013-07,524,
2013-08,511,
2013-09,520,
2013-10,533,
2013-11,540,
2013-12,538,
2014-01,487,
2014-02,504,
2014-03,508,
2014-04,503,
2014-05,506,
2014-06,506,
2014-07,485,
2014-08,490,
2014-09,491,
2014-10,485,
2014-11,488,
