"",BBK01.OEAC46S,BBK01.OEAC46S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:31,
2002-01,9.825,
2002-04,9.755,
2002-07,9.619,
2002-10,9.447,
2003-01,9.303,
2003-04,9.329,
2003-07,9.283,
2003-10,9.261,
2004-01,9.134,
2004-04,9.109,
2004-07,9.091,
2004-10,7.622,
2005-01,7.647,
2005-04,7.673,
2005-07,7.602,
2005-10,7.608,
2006-01,7.607,
2006-04,7.652,
2006-07,7.694,
2006-10,7.755,
2007-01,7.786,
2007-04,7.688,
2007-07,7.796,
2007-10,8.022,
2008-01,8.018,
2008-04,8.116,
2008-07,8.206,
2008-10,8.353,
2009-01,8.402,
2009-04,8.615,
2009-07,8.702,
2009-10,9.125,
2010-01,9.124,
2010-04,9.222,
2010-07,9.421,
2010-10,9.771,
2011-01,9.833,
2011-04,10.050,
2011-07,10.235,
2011-10,10.713,
2012-01,10.870,
2012-04,11.548,
2012-07,11.731,
2012-10,11.980,
2013-01,12.131,
2013-04,12.227,
2013-07,12.395,
2013-10,12.610,
2014-01,12.622,
2014-04,12.626,
2014-07,12.777,
