"",BBDE1.M.DE.Y.AEB5.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2P300000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / Industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:18,
1991-01,48.5,
1991-02,47.6,
1991-03,47.5,
1991-04,46.9,
1991-05,46.3,
1991-06,47.2,
1991-07,47.8,
1991-08,51.7,
1991-09,46.8,
1991-10,48.1,
1991-11,48.2,
1991-12,51.0,
1992-01,47.3,
1992-02,47.6,
1992-03,48.5,
1992-04,46.3,
1992-05,45.3,
1992-06,44.9,
1992-07,44.4,
1992-08,44.7,
1992-09,44.0,
1992-10,40.6,
1992-11,43.6,
1992-12,43.7,
1993-01,42.3,
1993-02,42.6,
1993-03,41.7,
1993-04,42.3,
1993-05,43.2,
1993-06,42.7,
1993-07,42.5,
1993-08,42.6,
1993-09,44.2,
1993-10,44.4,
1993-11,44.9,
1993-12,48.0,
1994-01,43.8,
1994-02,45.8,
1994-03,49.0,
1994-04,48.2,
1994-05,46.8,
1994-06,49.0,
1994-07,47.3,
1994-08,46.9,
1994-09,50.5,
1994-10,50.8,
1994-11,52.2,
1994-12,53.4,
1995-01,49.2,
1995-02,50.5,
1995-03,50.6,
1995-04,48.4,
1995-05,48.9,
1995-06,48.6,
1995-07,49.6,
1995-08,47.8,
1995-09,49.4,
1995-10,47.8,
1995-11,47.3,
1995-12,50.6,
1996-01,48.2,
1996-02,49.5,
1996-03,51.6,
1996-04,50.8,
1996-05,51.9,
1996-06,50.1,
1996-07,52.5,
1996-08,52.5,
1996-09,51.7,
1996-10,54.0,
1996-11,53.5,
1996-12,53.0,
1997-01,55.1,
1997-02,55.3,
1997-03,57.2,
1997-04,59.0,
1997-05,56.5,
1997-06,58.1,
1997-07,58.3,
1997-08,60.5,
1997-09,62.1,
1997-10,60.5,
1997-11,58.6,
1997-12,61.6,
1998-01,60.1,
1998-02,60.1,
1998-03,61.8,
1998-04,62.2,
1998-05,60.6,
1998-06,60.7,
1998-07,59.9,
1998-08,58.5,
1998-09,60.9,
1998-10,58.3,
1998-11,56.6,
1998-12,61.5,
1999-01,57.6,
1999-02,59.9,
1999-03,59.9,
1999-04,61.5,
1999-05,60.8,
1999-06,62.6,
1999-07,64.2,
1999-08,69.0,
1999-09,67.6,
1999-10,66.3,
1999-11,68.5,
1999-12,69.6,
2000-01,66.0,
2000-02,70.7,
2000-03,75.1,
2000-04,72.4,
2000-05,73.7,
2000-06,75.8,
2000-07,76.8,
2000-08,78.4,
2000-09,77.9,
2000-10,78.6,
2000-11,78.3,
2000-12,81.3,
2001-01,75.8,
2001-02,76.7,
2001-03,74.5,
2001-04,72.2,
2001-05,77.1,
2001-06,78.0,
2001-07,73.7,
2001-08,73.9,
2001-09,71.1,
2001-10,71.2,
2001-11,72.0,
2001-12,75.9,
2002-01,73.3,
2002-02,74.1,
2002-03,77.0,
2002-04,76.3,
2002-05,81.9,
2002-06,78.2,
2002-07,76.6,
2002-08,79.1,
2002-09,77.5,
2002-10,76.3,
2002-11,79.5,
2002-12,74.3,
2003-01,78.7,
2003-02,76.3,
2003-03,76.4,
2003-04,76.3,
2003-05,73.0,
2003-06,77.5,
2003-07,76.7,
2003-08,78.4,
2003-09,79.3,
2003-10,79.4,
2003-11,79.3,
2003-12,83.7,
2004-01,80.8,
2004-02,80.5,
2004-03,82.4,
2004-04,84.6,
2004-05,86.7,
2004-06,84.3,
2004-07,85.8,
2004-08,83.3,
2004-09,86.7,
2004-10,83.3,
2004-11,82.4,
2004-12,89.4,
2005-01,87.6,
2005-02,85.6,
2005-03,88.2,
2005-04,86.9,
2005-05,88.0,
2005-06,90.1,
2005-07,94.1,
2005-08,90.6,
2005-09,95.0,
2005-10,96.6,
2005-11,98.6,
2005-12,97.5,
2006-01,99.3,
2006-02,99.2,
2006-03,98.5,
2006-04,101.6,
2006-05,100.1,
2006-06,99.2,
2006-07,103.4,
2006-08,106.5,
2006-09,101.0,
2006-10,103.4,
2006-11,104.0,
2006-12,104.5,
2007-01,106.2,
2007-02,111.4,
2007-03,110.5,
2007-04,109.1,
2007-05,113.4,
2007-06,119.0,
2007-07,111.3,
2007-08,113.0,
2007-09,113.4,
2007-10,119.7,
2007-11,120.6,
2007-12,118.2,
2008-01,116.6,
2008-02,117.1,
2008-03,114.5,
2008-04,115.0,
2008-05,112.4,
2008-06,105.6,
2008-07,106.6,
2008-08,108.3,
2008-09,98.8,
2008-10,92.9,
2008-11,87.2,
2008-12,78.9,
2009-01,70.1,
2009-02,69.5,
2009-03,73.2,
2009-04,72.6,
2009-05,75.3,
2009-06,80.0,
2009-07,80.3,
2009-08,82.1,
2009-09,87.9,
2009-10,84.0,
2009-11,87.9,
2009-12,85.6,
2010-01,89.3,
2010-02,89.8,
2010-03,94.4,
2010-04,97.2,
2010-05,98.1,
2010-06,101.5,
2010-07,100.5,
2010-08,105.2,
2010-09,101.4,
2010-10,101.7,
2010-11,110.3,
2010-12,106.2,
2011-01,110.0,
2011-02,110.4,
2011-03,107.2,
2011-04,109.4,
2011-05,105.2,
2011-06,114.9,
2011-07,107.8,
2011-08,108.5,
2011-09,103.4,
2011-10,107.0,
2011-11,101.2,
2011-12,106.2,
2012-01,102.2,
2012-02,103.9,
2012-03,107.7,
2012-04,104.2,
2012-05,106.7,
2012-06,104.7,
2012-07,105.3,
2012-08,105.7,
2012-09,101.8,
2012-10,108.9,
2012-11,103.6,
2012-12,106.2,
2013-01,103.4,
2013-02,105.4,
2013-03,108.5,
2013-04,106.3,
2013-05,106.9,
2013-06,113.4,
2013-07,108.1,
2013-08,107.7,
2013-09,113.2,
2013-10,113.2,
2013-11,112.6,
2013-12,115.1,
2014-01,113.1,
2014-02,113.7,
2014-03,109.4,
2014-04,113.9,
2014-05,113.4,
2014-06,109.8,
2014-07,118.2,
2014-08,110.5,
2014-09,114.9,
2014-10,115.6,
2014-11,114.6,
2014-12,120.1,Provisional value
