"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F51._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F51._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Shares / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:03,
1991-01,-301.620,
1991-02,313.554,
1991-03,-1319.814,
1991-04,-140.577,
1991-05,713.320,
1991-06,780.002,
1991-07,1175.712,
1991-08,815.003,
1991-09,142.486,
1991-10,-146.099,
1991-11,67.754,
1991-12,-513.331,
1992-01,757.559,
1992-02,-382.077,
1992-03,-1601.056,
1992-04,-621.289,
1992-05,632.898,
1992-06,648.686,
1992-07,385.128,
1992-08,-558.611,
1992-09,-207.085,
1992-10,-830.774,
1992-11,-859.646,
1992-12,437.571,
1993-01,-528.150,
1993-02,-110.010,
1993-03,-1541.955,
1993-04,-1605.413,
1993-05,1352.076,
1993-06,2208.481,
1993-07,2197.816,
1993-08,1254.473,
1993-09,363.681,
1993-10,535.678,
1993-11,407.427,
1993-12,-148.588,
1994-01,-1501.793,
1994-02,-375.287,
1994-03,-196.753,
1994-04,-400.116,
1994-05,1428.747,
1994-06,1812.842,
1994-07,1137.585,
1994-08,774.589,
1994-09,-422.034,
1994-10,-211.429,
1994-11,-789.223,
1994-12,-613.652,
1995-01,-2173.971,
1995-02,-941.753,
1995-03,-2485.552,
1995-04,-303.057,
1995-05,1529.611,
1995-06,3693.862,
1995-07,742.868,
1995-08,311.337,
1995-09,796.150,
1995-10,-128.055,
1995-11,-1306.665,
1995-12,-602.674,
1996-01,784.188,
1996-02,492.180,
1996-03,-1006.549,
1996-04,-1364.125,
1996-05,3545.108,
1996-06,5457.775,
1996-07,-506.159,
1996-08,-282.569,
1996-09,1223.786,
1996-10,-384.050,
1996-11,3343.080,
1996-12,-21.708,
1997-01,-1048.633,
1997-02,-133.798,
1997-03,-1024.539,
1997-04,-2924.228,
1997-05,909.230,
1997-06,7254.484,
1997-07,7216.297,
1997-08,1291.907,
1997-09,4016.213,
1997-10,39.267,
1997-11,-3232.066,
1997-12,1598.351,
1998-01,-1411.269,
1998-02,1252.641,
1998-03,86.902,
1998-04,2596.895,
1998-05,4786.171,
1998-06,18020.623,
1998-07,5365.830,
1998-08,20.358,
1998-09,161.814,
1998-10,-4670.392,
1998-11,26317.192,
1998-12,-726.517,
1999-01,556.704,
1999-02,1839.915,
1999-03,-19436.944,
1999-04,-1390.956,
1999-05,1912.514,
1999-06,19534.848,
1999-07,4067.878,
1999-08,2324.315,
1999-09,4196.414,
1999-10,1422.712,
1999-11,2817.569,
1999-12,4774.522,
2000-01,11349.836,
2000-02,-96311.503,
2000-03,-9766.631,
2000-04,-1330.992,
2000-05,1970.595,
2000-06,42133.962,
2000-07,3999.049,
2000-08,2178.763,
2000-09,1028.506,
2000-10,470.178,
2000-11,5911.684,
2000-12,3633.542,
2001-01,-1148.148,
2001-02,810.567,
2001-03,1384.294,
2001-04,-582.793,
2001-05,44149.087,
2001-06,26837.961,
2001-07,6898.391,
2001-08,5554.410,
2001-09,2613.383,
2001-10,1204.780,
2001-11,-67.156,
2001-12,-843.053,
2002-01,1639.909,
2002-02,-123.173,
2002-03,3442.684,
2002-04,-7888.513,
2002-05,9397.929,
2002-06,7707.889,
2002-07,101.045,
2002-08,-458.387,
2002-09,-544.693,
2002-10,740.218,
2002-11,1036.490,
2002-12,864.525,
2003-01,-2919.588,
2003-02,-2138.216,
2003-03,980.530,
2003-04,-1448.996,
2003-05,-2654.661,
2003-06,7748.368,
2003-07,1531.149,
2003-08,2370.242,
2003-09,-190.373,
2003-10,12607.710,
2003-11,4592.233,
2003-12,2373.252,
2004-01,-5473.238,
2004-02,7750.597,
2004-03,-7779.612,
2004-04,-22238.698,
2004-05,-7286.780,
2004-06,16699.244,
2004-07,3968.433,
2004-08,336.310,
2004-09,2868.036,
2004-10,-15.693,
2004-11,1642.445,
2004-12,-1262.489,
2005-01,-5859.153,
2005-02,5614.199,
2005-03,1409.513,
2005-04,-46219.635,
2005-05,17368.119,
2005-06,32245.909,
2005-07,91.017,
2005-08,917.353,
2005-09,6670.479,
2005-10,-694.972,
2005-11,-3433.209,
2005-12,3700.082,
2006-01,-14303.031,
2006-02,10901.282,
2006-03,2951.623,
2006-04,-31781.590,
2006-05,-1830.445,
2006-06,33447.174,
2006-07,145.859,
2006-08,3689.819,
2006-09,1713.925,
2006-10,7914.453,
2006-11,5286.820,
2006-12,1657.383,
2007-01,-4954.139,
2007-02,17227.787,
2007-03,4173.965,
2007-04,-28576.353,
2007-05,9828.160,
2007-06,51009.117,
2007-07,1585.060,
2007-08,5680.606,
2007-09,-6060.994,
2007-10,1746.041,
2007-11,188.274,
2007-12,949.469,
2008-01,-18439.838,
2008-02,12224.318,
2008-03,-10043.539,
2008-04,-41804.178,
2008-05,3429.368,
2008-06,17280.506,
2008-07,-3080.446,
2008-08,3481.363,
2008-09,-720.661,
2008-10,6487.470,
2008-11,1768.035,
2008-12,-7388.205,
2009-01,-24230.957,
2009-02,8725.512,
2009-03,5755.211,
2009-04,-14346.877,
2009-05,8407.084,
2009-06,4452.488,
2009-07,5751.313,
2009-08,1373.064,
2009-09,5287.481,
2009-10,2156.446,
2009-11,-1456.379,
2009-12,155.582,
2010-01,-3459.992,
2010-02,1748.012,
2010-03,1612.131,
2010-04,-34805.295,
2010-05,19837.930,
2010-06,15586.550,
2010-07,1053.355,
2010-08,-637.905,
2010-09,1801.217,
2010-10,3344.123,
2010-11,-2137.994,
2010-12,-3879.302,
2011-01,-8201.292,
2011-02,7385.458,
2011-03,-5936.898,
2011-04,-18411.556,
2011-05,10278.618,
2011-06,14025.135,
2011-07,-47.727,
2011-08,-2229.250,
2011-09,-1999.872,
2011-10,935.415,
2011-11,-5206.497,
2011-12,-1916.069,
2012-01,-3396.618,
2012-02,3870.922,
2012-03,-9351.719,
2012-04,-10252.329,
2012-05,9361.809,
2012-06,10845.400,
2012-07,1755.835,
2012-08,-349.881,
2012-09,-1055.456,
2012-10,763.710,
2012-11,-214.939,
2012-12,-883.152,
2013-01,-5681.788,
2013-02,3679.019,
2013-03,-3357.344,
2013-04,-22052.129,
2013-05,16643.682,
2013-06,7941.731,
2013-07,1391.600,
2013-08,1198.382,
2013-09,1384.853,
2013-10,-3724.835,
2013-11,2715.707,
2013-12,5188.730,
2014-01,-7623.630,
2014-02,5941.998,Provisional value
2014-03,-3633.628,Provisional value
2014-04,-9775.072,Provisional value
2014-05,6163.744,Provisional value
2014-06,11279.387,Provisional value
2014-07,-3364.498,Provisional value
2014-08,1390.470,Provisional value
2014-09,7461.139,
2014-10,2339.991,
2014-11,2089.988,
2014-12,-317.617,Provisional value
