"",BBK01.PQN360,BBK01.PQN360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:20,
1968-10,0.006,
1969-01,0.005,
1969-04,0.005,
1969-07,0.005,
1969-10,0.006,
1970-01,0.006,
1970-04,0.006,
1970-07,0.006,
1970-10,0.007,
1971-01,0.008,
1971-04,0.008,
1971-07,0.010,
1971-10,0.010,
1972-01,0.011,
1972-04,0.012,
1972-07,0.013,
1972-10,0.013,
1973-01,0.013,
1973-04,0.013,
1973-07,0.013,
1973-10,0.012,
1974-01,0.012,
1974-04,0.011,
1974-07,0.010,
1974-10,0.009,
1975-01,0.007,
1975-04,0.007,
1975-07,0.007,
1975-10,0.007,
1976-01,0.007,
1976-04,0.008,
1976-07,0.009,
1976-10,0.009,
1977-01,0.009,
1977-04,0.009,
1977-07,0.009,
1977-10,0.008,
1978-01,0.008,
1978-04,0.008,
1978-07,0.008,
1978-10,0.007,
1979-01,0.007,
1979-04,0.008,
1979-07,0.009,
1979-10,0.009,
1980-01,0.009,
1980-04,0.010,
1980-07,0.011,
1980-10,0.011,
1981-01,0.012,
1981-04,0.016,
1981-07,0.016,
1981-10,0.017,
1982-01,0.018,
1982-04,0.024,
1982-07,0.037,
1982-10,0.047,
1983-01,0.055,
1983-04,0.048,
1983-07,0.047,
1983-10,0.052,
1984-01,0.044,
1984-04,0.042,
1984-07,0.040,
1984-10,0.037,
1985-01,0.035,
1985-04,0.038,
1985-07,0.047,
1985-10,0.045,
1986-01,0.040,
1986-04,0.051,
1986-07,0.048,
1986-10,0.043,
1987-01,0.041,
1987-04,0.048,
1987-07,0.046,
1987-10,0.044,
1988-01,0.051,
1988-04,0.050,
1988-07,0.047,
1988-10,0.042,
1989-01,0.042,
1989-04,0.042,
1989-07,0.056,
1989-10,0.062,
1990-01,0.067,
1990-04,0.076,
1990-07,0.085,
1990-10,0.088,
1991-01,0.103,
1991-04,0.089,
1991-07,0.085,
1991-10,0.097,
1992-01,0.095,
1992-04,0.094,
1992-07,0.101,
1992-10,0.105,
1993-01,0.114,
1993-04,0.122,
1993-07,0.110,
1993-10,0.080,
1994-01,0.077,
1994-04,0.070,
1994-07,0.070,
1994-10,0.073,
1995-01,0.067,
1995-04,0.067,
1995-07,0.062,
1995-10,0.057,
1996-01,0.061,
1996-04,0.088,
1996-07,0.102,
1996-10,0.054,
1997-01,0.052,
1997-04,0.057,
1997-07,0.063,
1997-10,0.068,
1998-01,0.064,
1998-04,0.060,
1998-07,0.062,
1998-10,0.069,
1999-01,0.023,
1999-04,0.026,
1999-07,0.021,
1999-10,0.018,
2000-01,0.011,
2000-04,0.003,
2000-07,0.003,
2000-10,0.003,
2001-01,0.003,
2001-04,0.008,
2001-07,0.010,
2001-10,0.008,
2002-01,0.031,
2002-04,0.031,
2002-07,0.065,
2002-10,0.039,
2003-01,0.002,
2003-04,0.014,
2003-07,0.014,
2003-10,0.014,
2004-01,0.014,
2004-04,0.012,
2004-07,0.022,
2004-10,0.016,
2005-01,0.016,
2005-04,0.038,
2005-07,0.042,
2005-10,0.033,
2006-01,0.004,
2006-04,0.003,
2006-07,0.003,
2006-10,0.006,
2007-01,0.007,
2007-04,0.006,
2007-07,0.010,
2007-10,0.008,
2008-01,0.009,
2008-04,0.008,
2008-07,0.008,
2008-10,0.009,
2009-01,0.009,
2009-04,0.010,
2009-07,0.009,
2009-10,0.010,
2010-01,0.012,
2010-04,0.024,
2010-07,0.028,
2010-10,0.077,
2011-01,0.073,
2011-04,0.063,
2011-07,0.055,
2011-10,0.043,
2012-01,0.055,
2012-04,0.053,
2012-07,0.019,
2012-10,0.019,
2013-01,0.021,
2013-04,0.022,
2013-07,0.019,
2013-10,0.024,
2014-01,0.024,
2014-04,0.024,
2014-07,0.022,
2014-10,0.022,
