"",BBK01.OELI06T,BBK01.OELI06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:02,
2002-01,0.295,
2002-04,0.308,
2002-07,0.318,
2002-10,0.325,
2003-01,0.333,
2003-04,0.324,
2003-07,0.314,
2003-10,0.313,
2004-01,0.306,
2004-04,0.300,
2004-07,0.294,
2004-10,0.281,
2005-01,0.263,
2005-04,0.259,
2005-07,0.247,
2005-10,0.243,
2006-01,0.236,
2006-04,0.235,
2006-07,0.233,
2006-10,0.230,
2007-01,0.228,
2007-04,0.226,
2007-07,0.232,
2007-10,0.243,
2008-01,0.244,
2008-04,0.256,
2008-07,0.273,
2008-10,0.286,
2009-01,0.296,
2009-04,0.292,
2009-07,0.281,
2009-10,0.267,
2010-01,0.266,
2010-04,0.268,
2010-07,0.267,
2010-10,0.271,
2011-01,0.271,
2011-04,0.274,
2011-07,0.282,
2011-10,0.287,
2012-01,0.291,
2012-04,0.288,
2012-07,0.287,
2012-10,0.273,
2013-01,0.242,
2013-04,0.230,
2013-07,0.220,
2013-10,0.204,
2014-01,0.184,
2014-04,0.180,
2014-07,0.175,
