"",BBEX3.A.KPW.EUR.CA.AC.A04,BBEX3.A.KPW.EUR.CA.AC.A04_FLAGS
"",Exchange rates for the euro in the Democratic People's Republic of Korea  / EUR 1 = KPW * ... (middle),
unit,KPW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:47,
2010,134.121,
2011,136.626,
2012,130.614,
2013,131.656,
2014,131.776,
"","General: * According to unconfirmed press reports, a currency conversion took place at the end of November / beginning of December 2009 at a rate of 100 won (old) = 1 won (new); until the end of December 2009, the exchange rates were communicated to us by the Democratic People's Republic of Korea in (old) won.",
"",Source: January 2010 - March 2013 and from August 2013 Foreign Trade Bank of the Democratic People's Republic of Korea  April - July 2013  German Embassy Pyongyang,
"",Methodology: Calculated on the basis of month-end buying and selling rates (April - July 2013 middle rates).,
