"",BBK01.OEAH89O,BBK01.OEAH89O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:21,
2002-01,-7.138,
2002-04,-6.848,
2002-07,-6.802,
2002-10,-6.501,
2003-01,-5.796,
2003-04,-5.643,
2003-07,-5.520,
2003-10,-4.613,
2004-01,-4.015,
2004-04,-3.558,
2004-07,-2.843,
2004-10,-2.833,
2005-01,1.034,
2005-04,0.821,
2005-07,0.977,
2005-10,0.835,
2006-01,0.770,
2006-04,0.732,
2006-07,0.718,
2006-10,0.782,
2007-01,0.792,
2007-04,0.660,
2007-07,0.702,
2007-10,0.544,
2008-01,0.430,
2008-04,0.434,
2008-07,0.454,
2008-10,0.091,
2009-01,0.131,
2009-04,0.089,
2009-07,0.089,
2009-10,0.095,
2010-01,0.095,
2010-04,0.089,
2010-07,0.090,
2010-10,0.098,
2011-01,0.102,
2011-04,0.100,
2011-07,0.098,
2011-10,0.096,
2012-01,0.083,
2012-04,0.106,
2012-07,0.121,
2012-10,0.159,
2013-01,0.140,
2013-04,0.134,
2013-07,0.134,
2013-10,0.125,
2014-01,0.120,
2014-04,0.115,
2014-07,0.117,
