"",BBK01.OEAB12V,BBK01.OEAB12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:04,
2002-01,13.837,
2002-04,13.870,
2002-07,13.946,
2002-10,13.782,
2003-01,13.548,
2003-04,13.197,
2003-07,13.250,
2003-10,13.165,
2004-01,12.958,
2004-04,12.963,
2004-07,13.025,
2004-10,12.851,
2005-01,12.647,
2005-04,12.722,
2005-07,12.629,
2005-10,12.688,
2006-01,12.609,
2006-04,13.006,
2006-07,12.726,
2006-10,12.629,
2007-01,12.485,
2007-04,12.234,
2007-07,12.324,
2007-10,12.540,
2008-01,12.437,
2008-04,11.477,
2008-07,11.570,
2008-10,11.876,
2009-01,11.710,
2009-04,13.112,
2009-07,13.171,
2009-10,14.668,
2010-01,14.888,
2010-04,15.137,
2010-07,14.235,
2010-10,14.384,
2011-01,14.908,
2011-04,14.988,
2011-07,15.395,
2011-10,15.426,
2012-01,15.573,
2012-04,15.839,
2012-07,15.877,
2012-10,15.937,
2013-01,15.873,
2013-04,15.922,
2013-07,16.075,
2013-10,16.243,
2014-01,16.450,
2014-04,16.651,
2014-07,16.843,
