"",BBK01.SUD127S,BBK01.SUD127S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans to non-financial corporations over EUR 1 million with floating rate or an initial rate fixation up to 1 year,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:40:02,
2000-01,4.7420,Estimated value
2000-02,4.8891,Estimated value
2000-03,5.0222,Estimated value
2000-04,5.1386,Estimated value
2000-05,5.5142,Estimated value
2000-06,5.6541,Estimated value
2000-07,5.8024,Estimated value
2000-08,5.9287,Estimated value
2000-09,5.9463,Estimated value
2000-10,5.9942,Estimated value
2000-11,5.9929,Estimated value
2000-12,5.7622,Estimated value
2001-01,5.5519,Estimated value
2001-02,5.5180,Estimated value
2001-03,5.4085,Estimated value
2001-04,5.4172,Estimated value
2001-05,5.4451,Estimated value
2001-06,5.2781,Estimated value
2001-07,5.2603,Estimated value
2001-08,5.1267,Estimated value
2001-09,4.8711,Estimated value
2001-10,4.5356,Estimated value
2001-11,4.3912,Estimated value
2001-12,4.4550,Estimated value
2002-01,4.5727,Estimated value
2002-02,4.6625,Estimated value
2002-03,4.8216,Estimated value
2002-04,4.8768,Estimated value
2002-05,4.9565,Estimated value
2002-06,4.8775,Estimated value
2002-07,4.7362,Estimated value
2002-08,4.5873,Estimated value
2002-09,4.4314,Estimated value
2002-10,4.3606,Estimated value
2002-11,4.2836,Estimated value
2002-12,4.1670,Estimated value
