"",BBK01.OELO06N,BBK01.OELO06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:26,
2002-01,33.682,
2002-04,33.454,
2002-07,33.369,
2002-10,34.282,
2003-01,34.526,
2003-04,34.496,
2003-07,34.233,
2003-10,34.741,
2004-01,34.756,
2004-04,34.723,
2004-07,34.560,
2004-10,35.082,
2005-01,34.955,
2005-04,34.716,
2005-07,34.448,
2005-10,34.771,
2006-01,35.122,
2006-04,35.214,
2006-07,34.904,
2006-10,34.617,
2007-01,33.625,
2007-04,32.782,
2007-07,32.058,
2007-10,31.820,
2008-01,30.833,
2008-04,29.911,
2008-07,28.818,
2008-10,29.315,
2009-01,30.650,
2009-04,32.126,
2009-07,33.552,
2009-10,35.552,
2010-01,37.034,
2010-04,37.715,
2010-07,37.962,
2010-10,38.431,
2011-01,38.522,
2011-04,38.091,
2011-07,37.685,
2011-10,37.730,
2012-01,37.426,
2012-04,37.190,
2012-07,37.180,
2012-10,37.470,
2013-01,37.507,
2013-04,37.264,
2013-07,37.169,
2013-10,37.390,
2014-01,37.402,
2014-04,37.234,
2014-07,37.119,
