"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F51._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F51._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Shares / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:37,
1991-01,-263.876,
1991-02,104.856,
1991-03,67.559,
1991-04,111.526,
1991-05,149.494,
1991-06,343.783,
1991-07,310.544,
1991-08,135.157,
1991-09,284.081,
1991-10,-31.295,
1991-11,63.394,
1991-12,-212.481,
1992-01,72.510,
1992-02,262.100,
1992-03,130.964,
1992-04,125.884,
1992-05,121.424,
1992-06,296.912,
1992-07,79.546,
1992-08,-170.670,
1992-09,-181.760,
1992-10,191.826,
1992-11,56.578,
1992-12,-219.443,
1993-01,242.112,
1993-02,689.347,
1993-03,331.996,
1993-04,161.463,
1993-05,-110.894,
1993-06,213.513,
1993-07,273.191,
1993-08,108.437,
1993-09,254.508,
1993-10,791.631,
1993-11,339.905,
1993-12,911.488,
1994-01,1117.148,
1994-02,1497.423,
1994-03,1559.292,
1994-04,551.448,
1994-05,829.322,
1994-06,570.856,
1994-07,398.224,
1994-08,407.049,
1994-09,-337.863,
1994-10,-150.680,
1994-11,-58.733,
1994-12,-254.712,
1995-01,-300.033,
1995-02,249.996,
1995-03,-261.655,
1995-04,72.821,
1995-05,130.919,
1995-06,-201.334,
1995-07,-276.415,
1995-08,-277.236,
1995-09,-173.209,
1995-10,-147.201,
1995-11,-21.879,
1995-12,322.189,
1996-01,1990.088,
1996-02,595.883,
1996-03,2162.490,
1996-04,2345.527,
1996-05,-353.021,
1996-06,-1368.262,
1996-07,951.917,
1996-08,32.539,
1996-09,-582.132,
1996-10,1221.005,
1996-11,1155.896,
1996-12,3081.168,
1997-01,4897.884,
1997-02,4485.077,
1997-03,3276.773,
1997-04,2942.396,
1997-05,2506.312,
1997-06,4113.990,
1997-07,3432.200,
1997-08,1695.050,
1997-09,34.101,
1997-10,1219.459,
1997-11,2107.715,
1997-12,3285.622,
1998-01,2849.299,
1998-02,7429.827,
1998-03,12905.206,
1998-04,4179.091,
1998-05,5722.940,
1998-06,6104.117,
1998-07,5187.195,
1998-08,2894.480,
1998-09,3721.355,
1998-10,3608.257,
1998-11,2842.279,
1998-12,4441.304,
1999-01,11083.285,
1999-02,2539.291,
1999-03,5980.733,
1999-04,1219.808,
1999-05,-2298.398,
1999-06,7834.333,
1999-07,9304.058,
1999-08,5482.602,
1999-09,2343.754,
1999-10,752.618,
1999-11,6371.271,
1999-12,17418.765,
2000-01,5468.025,
2000-02,29963.615,
2000-03,10552.124,
2000-04,1324.416,
2000-05,5570.712,
2000-06,11524.361,
2000-07,11053.378,
2000-08,11380.766,
2000-09,6867.150,
2000-10,3392.222,
2000-11,1659.054,
2000-12,3523.324,
2001-01,12146.104,
2001-02,844.780,
2001-03,-7615.671,
2001-04,11197.110,
2001-05,800.120,
2001-06,517.010,
2001-07,640.833,
2001-08,-712.665,
2001-09,-8097.439,
2001-10,678.114,
2001-11,-518.315,
2001-12,792.943,
2002-01,6291.681,
2002-02,3773.574,
2002-03,-3591.636,
2002-04,995.292,
2002-05,335.917,
2002-06,-1537.191,
2002-07,1825.339,
2002-08,-2092.761,
2002-09,-6380.905,
2002-10,2674.627,
2002-11,-2445.427,
2002-12,4911.778,
2003-01,-4321.853,
2003-02,-7084.052,
2003-03,-5022.902,
2003-04,-11957.756,
2003-05,3321.284,
2003-06,9793.772,
2003-07,3315.181,
2003-08,-61.346,
2003-09,-1924.537,
2003-10,2136.152,
2003-11,-128.226,
2003-12,3689.098,
2004-01,-458.696,
2004-02,767.524,
2004-03,-2102.878,
2004-04,-4188.480,
2004-05,3407.505,
2004-06,-207.140,
2004-07,-1918.375,
2004-08,56.705,
2004-09,-3748.144,
2004-10,1119.813,
2004-11,846.295,
2004-12,-2645.996,
2005-01,-5184.972,
2005-02,3771.477,
2005-03,826.044,
2005-04,-3441.368,
2005-05,2604.512,
2005-06,-1094.495,
2005-07,223.320,
2005-08,2458.511,
2005-09,1083.214,
2005-10,-2843.745,
2005-11,20699.238,
2005-12,863.054,
2006-01,1369.039,
2006-02,3738.503,
2006-03,-4125.204,
2006-04,-4304.658,
2006-05,-7228.774,
2006-06,-412.099,
2006-07,-5218.720,
2006-08,3961.979,
2006-09,5718.127,
2006-10,-2865.929,
2006-11,5617.479,
2006-12,-644.793,
2007-01,-8276.694,
2007-02,1035.283,
2007-03,-5844.165,
2007-04,-6958.253,
2007-05,10080.409,
2007-06,-137.441,
2007-07,-3304.645,
2007-08,-4493.388,
2007-09,2086.721,
2007-10,252.754,
2007-11,-404.668,
2007-12,-5905.098,
2008-01,-3962.139,
2008-02,-1871.410,
2008-03,-6171.370,
2008-04,-6324.992,
2008-05,-5402.204,
2008-06,-1062.232,
2008-07,-1893.259,
2008-08,739.679,
2008-09,193.815,
2008-10,-7700.333,
2008-11,-6267.274,
2008-12,-340.623,
2009-01,1847.374,
2009-02,-1235.781,
2009-03,-776.934,
2009-04,-1124.247,
2009-05,1863.744,
2009-06,831.658,
2009-07,1142.998,
2009-08,-484.308,
2009-09,-589.663,
2009-10,-2377.479,
2009-11,298.607,
2009-12,2992.787,
2010-01,-2905.264,
2010-02,-1766.367,
2010-03,1270.068,
2010-04,-3720.283,
2010-05,2891.183,
2010-06,5024.250,
2010-07,-3253.323,
2010-08,653.927,
2010-09,414.740,
2010-10,2874.103,
2010-11,4347.216,
2010-12,-4510.796,
2011-01,645.145,
2011-02,-4367.043,
2011-03,-1846.896,
2011-04,2120.662,
2011-05,4208.185,
2011-06,2702.568,
2011-07,-3420.440,
2011-08,-3721.610,
2011-09,-4763.992,
2011-10,682.489,
2011-11,-1989.996,
2011-12,7037.819,
2012-01,-2767.870,
2012-02,-4342.611,
2012-03,1445.650,
2012-04,-1856.776,
2012-05,1795.789,
2012-06,1248.031,
2012-07,2013.773,
2012-08,-58.732,
2012-09,376.034,
2012-10,4679.595,
2012-11,1509.412,
2012-12,7693.289,
2013-01,3327.668,
2013-02,629.986,
2013-03,6179.503,
2013-04,-1980.339,
2013-05,4697.073,
2013-06,546.313,
2013-07,6925.072,
2013-08,359.471,
2013-09,1382.099,
2013-10,1074.770,
2013-11,258.945,
2013-12,-4194.646,
2014-01,2331.081,
2014-02,-3697.830,Provisional value
2014-03,4810.149,Provisional value
2014-04,258.780,Provisional value
2014-05,1641.032,Provisional value
2014-06,3044.196,Provisional value
2014-07,320.768,Provisional value
2014-08,-1452.205,Provisional value
2014-09,1013.583,
2014-10,-1727.711,
2014-11,-27.475,
2014-12,5023.070,Provisional value
