"",BBK01.OEAH95V,BBK01.OEAH95V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:19,
2002-01,0.050,
2002-04,0.044,
2002-07,0.045,
2002-10,0.045,
2003-01,0.044,
2003-04,0.044,
2003-07,0.043,
2003-10,0.043,
2004-01,0.042,
2004-04,0.043,
2004-07,0.043,
2004-10,0.046,
2005-01,0.046,
2005-04,0.045,
2005-07,0.043,
2005-10,0.044,
2006-01,0.045,
2006-04,0.045,
2006-07,0.043,
2006-10,0.044,
2007-01,0.047,
2007-04,0.047,
2007-07,0.051,
2007-10,0.055,
2008-01,0.052,
2008-04,0.052,
2008-07,0.055,
2008-10,0.062,
2009-01,0.073,
2009-04,0.073,
2009-07,0.076,
2009-10,0.082,
2010-01,0.083,
2010-04,0.084,
2010-07,0.087,
2010-10,0.090,
2011-01,0.089,
2011-04,0.087,
2011-07,0.087,
2011-10,0.083,
2012-01,0.086,
2012-04,0.090,
2012-07,0.094,
2012-10,0.093,
2013-01,0.093,
2013-04,0.092,
2013-07,0.092,
2013-10,0.094,
2014-01,0.093,
2014-04,0.092,
2014-07,0.093,
