"",BBK01.OEYB10G,BBK01.OEYB10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:25,
2002-01,9.059,
2002-04,10.411,
2002-07,10.231,
2002-10,10.001,
2003-01,8.423,
2003-04,11.390,
2003-07,8.888,
2003-10,8.579,
2004-01,9.301,
2004-04,10.030,
2004-07,7.806,
2004-10,8.500,
2005-01,9.242,
2005-04,10.522,
2005-07,11.696,
2005-10,10.870,
2006-01,11.330,
2006-04,11.653,
2006-07,12.109,
2006-10,11.507,
2007-01,12.819,
2007-04,13.691,
2007-07,15.584,
2007-10,17.214,
2008-01,15.969,
2008-04,16.558,
2008-07,17.218,
2008-10,17.694,
2009-01,18.230,
2009-04,17.299,
2009-07,15.306,
2009-10,14.275,
2010-01,13.567,
2010-04,12.768,
2010-07,13.494,
2010-10,12.540,
2011-01,13.410,
2011-04,11.723,
2011-07,12.191,
2011-10,12.879,
2012-01,13.293,
2012-04,15.055,
2012-07,15.502,
2012-10,13.574,
2013-01,14.354,
2013-04,13.354,
2013-07,10.116,
2013-10,7.830,
2014-01,7.648,
2014-04,7.712,
2014-07,7.522,
