"",BBK01.OEAA20Q,BBK01.OEAA20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:17,
2002-01,0.127,
2002-04,0.109,
2002-07,0.143,
2002-10,0.167,
2003-01,0.066,
2003-04,0.080,
2003-07,0.088,
2003-10,0.095,
2004-01,0.082,
2004-04,0.100,
2004-07,0.108,
2004-10,0.081,
2005-01,0.062,
2005-04,0.060,
2005-07,0.077,
2005-10,0.058,
2006-01,0.036,
2006-04,0.028,
2006-07,0.026,
2006-10,0.021,
2007-01,0.019,
2007-04,0.021,
2007-07,0.020,
2007-10,0.016,
2008-01,0.015,
2008-04,0.012,
2008-07,0.010,
2008-10,0.017,
2009-01,0.012,
2009-04,0.013,
2009-07,0.011,
2009-10,0.011,
2010-01,0.006,
2010-04,0.006,
2010-07,0.004,
2010-10,0.006,
2011-01,0.005,
2011-04,0.006,
2011-07,0.005,
2011-10,0.015,
2012-01,0.001,
2012-04,0.002,
2012-07,0.003,
2012-10,0.009,
2013-01,0.009,
2013-04,0.010,
2013-07,0.006,
2013-10,0.008,
2014-01,0.007,
2014-04,0.005,
2014-07,0.005,
