"",BBK01.OEHO05U,BBK01.OEHO05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:05,
2002-01,0.003,
2002-04,0.005,
2002-07,0.009,
2002-10,0.170,
2003-01,0.003,
2003-04,0.003,
2003-07,0.003,
2003-10,0.148,
2004-01,0.002,
2004-04,0.001,
2004-07,0.003,
2004-10,0.147,
2005-01,0.002,
2005-04,0.003,
2005-07,0.005,
2005-10,0.141,
2006-01,-,Nothing exists
2006-04,0.002,
2006-07,0.003,
2006-10,0.143,
2007-01,0.001,
2007-04,0.003,
2007-07,0.005,
2007-10,0.147,
2008-01,0.003,
2008-04,0.003,
2008-07,0.007,
2008-10,0.155,
2009-01,0.003,
2009-04,0.006,
2009-07,0.017,
2009-10,0.127,
2010-01,0.005,
2010-04,0.007,
2010-07,0.009,
2010-10,0.104,
2011-01,0.005,
2011-04,0.007,
2011-07,0.007,
2011-10,0.102,
2012-01,0.006,
2012-04,0.006,
2012-07,0.009,
2012-10,0.087,
2013-01,0.006,
2013-04,0.006,
2013-07,0.006,
2013-10,0.065,
2014-01,0.006,
2014-04,0.006,
2014-07,0.006,
