"",BBK01.CELJ20,BBK01.CELJ20_FLAGS
"",Unlisted Shares                                       debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:00,
1999-01,0.7,
1999-04,0.0,
1999-07,0.5,
1999-10,1.2,
2000-01,1.1,
2000-04,0.6,
2000-07,0.4,
2000-10,1.0,
2001-01,1.0,
2001-04,0.5,
2001-07,0.7,
2001-10,4.7,
2002-01,0.6,
2002-04,0.3,
2002-07,0.4,
2002-10,0.4,
2003-01,1.8,
2003-04,0.7,
2003-07,1.1,
2003-10,0.4,
2004-01,0.0,
2004-04,-1.3,
2004-07,0.8,
2004-10,2.7,
2005-01,-0.4,
2005-04,-1.2,
2005-07,-0.4,
2005-10,0.9,
2006-01,0.1,
2006-04,-0.3,
2006-07,0.6,
2006-10,0.0,
2007-01,-0.4,
2007-04,-1.5,
2007-07,-0.4,
2007-10,-0.6,
2008-01,-0.8,
2008-04,-2.0,
2008-07,-0.9,
2008-10,0.6,
2009-01,1.5,
2009-04,0.5,
2009-07,-1.5,
2009-10,-0.4,
2010-01,-0.8,
2010-04,-2.6,
2010-07,-0.6,
2010-10,-1.6,
2011-01,0.0,
2011-04,-0.6,
2011-07,-0.9,
2011-10,-0.6,
2012-01,-0.7,
2012-04,-1.5,
2012-07,-0.9,
2012-10,-0.3,
2013-01,0.1,
2013-04,-2.2,
2013-07,-0.5,
2013-10,-0.2,
2014-01,-0.1,
2014-04,-0.5,
2014-07,1.6,
