"",BBK01.OEHB16Q,BBK01.OEHB16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:51,
2002-01,7.549,
2002-04,7.536,
2002-07,7.519,
2002-10,7.485,
2003-01,7.390,
2003-04,7.404,
2003-07,7.476,
2003-10,7.464,
2004-01,7.416,
2004-04,7.391,
2004-07,7.378,
2004-10,7.352,
2005-01,7.326,
2005-04,7.400,
2005-07,7.434,
2005-10,7.411,
2006-01,7.357,
2006-04,7.383,
2006-07,7.398,
2006-10,7.329,
2007-01,7.316,
2007-04,7.301,
2007-07,7.250,
2007-10,7.248,
2008-01,7.260,
2008-04,7.223,
2008-07,7.306,
2008-10,7.308,
2009-01,7.262,
2009-04,7.326,
2009-07,7.355,
2009-10,7.447,
2010-01,7.434,
2010-04,7.540,
2010-07,7.699,
2010-10,7.684,
2011-01,7.684,
2011-04,7.649,
2011-07,7.637,
2011-10,7.616,
2012-01,7.600,
2012-04,7.590,
2012-07,7.584,
2012-10,7.572,
2013-01,7.567,
2013-04,7.519,
2013-07,7.512,
2013-10,7.522,
2014-01,7.498,
2014-04,7.532,
2014-07,7.559,
