"",BBK01.OECB07P,BBK01.OECB07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:13,
2002-01,0.064,
2002-04,0.063,
2002-07,0.063,
2002-10,0.059,
2003-01,0.060,
2003-04,0.059,
2003-07,0.081,
2003-10,0.085,
2004-01,0.081,
2004-04,0.081,
2004-07,0.076,
2004-10,0.068,
2005-01,0.073,
2005-04,0.074,
2005-07,0.073,
2005-10,0.065,
2006-01,0.068,
2006-04,0.060,
2006-07,0.060,
2006-10,0.073,
2007-01,0.058,
2007-04,0.060,
2007-07,0.056,
2007-10,0.076,
2008-01,0.072,
2008-04,0.075,
2008-07,0.071,
2008-10,0.086,
2009-01,0.056,
2009-04,0.058,
2009-07,0.061,
2009-10,0.150,
2010-01,0.148,
2010-04,0.165,
2010-07,0.166,
2010-10,0.165,
2011-01,0.166,
2011-04,0.174,
2011-07,0.177,
2011-10,0.179,
2012-01,0.181,
2012-04,0.207,
2012-07,0.207,
2012-10,0.131,
2013-01,0.132,
2013-04,0.152,
2013-07,0.250,
2013-10,0.259,
2014-01,0.274,
2014-04,0.270,
2014-07,0.223,
