"",BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:38,
1991-01,-124.704,
1991-04,355.330,
1991-07,-138.444,
1991-10,25.088,
1992-01,353.247,
1992-04,332.589,
1992-07,-768.720,
1992-10,-909.142,
1993-01,918.083,
1993-04,-7.973,
1993-07,-160.156,
1993-10,-430.316,
1994-01,419.577,
1994-04,290.533,
1994-07,-26.578,
1994-10,314.538,
1995-01,-170.555,
1995-04,266.442,
1995-07,233.028,
1995-10,1232.369,
1996-01,49.585,
1996-04,439.321,
1996-07,-33.683,
1996-10,507.258,
1997-01,121.276,
1997-04,720.526,
1997-07,108.675,
1997-10,607.515,
1998-01,380.094,
1998-04,633.019,
1998-07,565.239,
1998-10,230.304,
1999-01,789.277,
1999-04,-163.620,
1999-07,1849.002,
1999-10,833.511,
2000-01,1069.230,
2000-04,1163.504,
2000-07,3030.945,
2000-10,2381.227,
2001-01,2152.155,
2001-04,389.035,
2001-07,582.098,
2001-10,505.084,
2002-01,2152.545,
2002-04,-800.863,
2002-07,189.304,
2002-10,-169.241,
2003-01,2102.114,
2003-04,4496.764,
2003-07,313.908,
2003-10,3105.500,
2004-01,4718.495,
2004-04,3807.468,
2004-07,5465.046,
2004-10,1423.182,
2005-01,2557.067,
2005-04,6058.855,
2005-07,1571.602,
2005-10,3316.484,
2006-01,3786.035,
2006-04,5702.073,
2006-07,5175.791,
2006-10,6025.419,
2007-01,3009.795,
2007-04,5008.156,
2007-07,4447.910,
2007-10,2017.872,
2008-01,19988.215,
2008-04,-1655.513,
2008-07,-2347.698,
2008-10,-1453.555,
2009-01,-1482.859,
2009-04,1359.185,
2009-07,1995.450,
2009-10,1050.405,
2010-01,2180.932,
2010-04,2110.581,
2010-07,-3940.188,
2010-10,3814.307,
2011-01,-4747.461,
2011-04,1256.078,
2011-07,-4600.304,
2011-10,-289.936,
2012-01,-814.586,
2012-04,-4039.415,
2012-07,9.993,
2012-10,1234.923,
2013-01,1566.513,
2013-04,-465.062,
2013-07,-1953.523,
2013-10,1204.522,
2014-01,272.869,Provisional value
2014-04,813.153,Provisional value
2014-07,1038.427,Provisional value
2014-10,3866.939,Provisional value
