"",BBK01.OEAN05R,BBK01.OEAN05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:13,
2002-01,2.043,
2002-04,2.021,
2002-07,1.974,
2002-10,2.036,
2003-01,2.027,
2003-04,2.029,
2003-07,2.029,
2003-10,2.009,
2004-01,1.913,
2004-04,1.851,
2004-07,1.838,
2004-10,1.804,
2005-01,1.676,
2005-04,1.630,
2005-07,1.671,
2005-10,1.655,
2006-01,1.628,
2006-04,1.579,
2006-07,1.545,
2006-10,1.516,
2007-01,1.484,
2007-04,1.404,
2007-07,1.369,
2007-10,1.369,
2008-01,1.374,
2008-04,1.331,
2008-07,1.296,
2008-10,1.284,
2009-01,1.318,
2009-04,1.358,
2009-07,1.481,
2009-10,1.488,
2010-01,1.537,
2010-04,1.570,
2010-07,1.606,
2010-10,1.355,
2011-01,1.466,
2011-04,1.470,
2011-07,1.464,
2011-10,1.463,
2012-01,1.334,
2012-04,1.341,
2012-07,1.372,
2012-10,1.428,
2013-01,1.496,
2013-04,1.516,
2013-07,1.541,
2013-10,1.521,
2014-01,1.633,
2014-04,1.661,
2014-07,1.693,
