"",BBK01.OEHL07L,BBK01.OEHL07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:09,
2002-01,22.257,
2002-04,21.681,
2002-07,21.277,
2002-10,21.591,
2003-01,21.250,
2003-04,21.024,
2003-07,20.871,
2003-10,21.295,
2004-01,21.156,
2004-04,20.980,
2004-07,20.830,
2004-10,21.465,
2005-01,21.764,
2005-04,21.550,
2005-07,21.299,
2005-10,21.627,
2006-01,21.462,
2006-04,21.374,
2006-07,21.193,
2006-10,21.305,
2007-01,20.573,
2007-04,19.843,
2007-07,19.174,
2007-10,18.798,
2008-01,17.951,
2008-04,17.278,
2008-07,16.754,
2008-10,16.952,
2009-01,17.223,
2009-04,17.735,
2009-07,18.158,
2009-10,18.833,
2010-01,19.140,
2010-04,19.232,
2010-07,19.092,
2010-10,19.324,
2011-01,19.343,
2011-04,19.302,
2011-07,19.076,
2011-10,19.152,
2012-01,18.932,
2012-04,18.768,
2012-07,18.525,
2012-10,18.504,
2013-01,18.416,
2013-04,18.279,
2013-07,18.202,
2013-10,18.436,
2014-01,18.179,
2014-04,17.881,
2014-07,17.586,
