"",BBK01.OECJ03T,BBK01.OECJ03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:28,
2002-01,0.286,
2002-04,0.279,
2002-07,0.211,
2002-10,0.202,
2003-01,0.187,
2003-04,0.175,
2003-07,0.170,
2003-10,0.152,
2004-01,0.140,
2004-04,0.129,
2004-07,0.124,
2004-10,0.217,
2005-01,0.161,
2005-04,0.135,
2005-07,0.133,
2005-10,0.174,
2006-01,0.129,
2006-04,0.147,
2006-07,0.166,
2006-10,0.322,
2007-01,0.187,
2007-04,0.154,
2007-07,0.213,
2007-10,0.221,
2008-01,0.215,
2008-04,0.229,
2008-07,0.252,
2008-10,0.204,
2009-01,0.167,
2009-04,0.166,
2009-07,0.140,
2009-10,0.141,
2010-01,0.124,
2010-04,0.130,
2010-07,0.156,
2010-10,0.149,
2011-01,0.150,
2011-04,0.206,
2011-07,0.192,
2011-10,0.175,
2012-01,0.152,
2012-04,0.162,
2012-07,0.156,
2012-10,0.136,
2013-01,0.491,
2013-04,0.144,
2013-07,0.143,
2013-10,0.152,
2014-01,0.157,
2014-04,0.181,
2014-07,0.173,
