"",BBFN1.M.DE.N.1.A.RU.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RU.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2012-05,2.262,
2012-06,2.813,
2012-07,2.768,
2012-08,2.419,
2012-09,2.425,
2012-10,2.461,
2012-11,2.446,
2012-12,2.248,
2013-01,2.038,
2013-02,1.962,
2013-03,2.034,
2013-04,2.218,
2013-05,2.223,
2013-06,2.467,
2013-07,2.304,
2013-08,2.065,
2013-09,1.971,
2013-10,2.051,
2013-11,2.005,
2013-12,2.002,
2014-01,2.037,
2014-02,2.098,
2014-03,2.121,
2014-04,1.989,
2014-05,2.044,
2014-06,2.090,
2014-07,2.423,
2014-08,1.939,
2014-09,1.902,
2014-10,1.838,
2014-11,1.694,
2014-12,1.613,
