"",BBK01.OEAH06N,BBK01.OEAH06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:13,
2002-01,2.788,
2002-04,2.625,
2002-07,2.556,
2002-10,2.440,
2003-01,2.453,
2003-04,2.417,
2003-07,2.255,
2003-10,2.199,
2004-01,2.025,
2004-04,2.010,
2004-07,1.955,
2004-10,1.200,
2005-01,1.424,
2005-04,1.362,
2005-07,1.327,
2005-10,1.588,
2006-01,1.767,
2006-04,1.881,
2006-07,2.096,
2006-10,2.182,
2007-01,2.605,
2007-04,3.046,
2007-07,3.293,
2007-10,4.445,
2008-01,4.663,
2008-04,5.055,
2008-07,6.377,
2008-10,6.614,
2009-01,7.587,
2009-04,7.556,
2009-07,7.029,
2009-10,6.877,
2010-01,6.459,
2010-04,5.671,
2010-07,5.196,
2010-10,5.076,
2011-01,5.025,
2011-04,5.428,
2011-07,6.102,
2011-10,7.053,
2012-01,8.058,
2012-04,8.116,
2012-07,8.033,
2012-10,7.384,
2013-01,7.711,
2013-04,7.989,
2013-07,7.116,
2013-10,7.846,
2014-01,7.271,
2014-04,7.156,
2014-07,6.955,
