"",BBK01.CEB703,BBK01.CEB703_FLAGS
"",Other claims debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:12,
1991-01,24.1,
1991-04,22.5,
1991-07,26.3,
1991-10,30.5,
1992-01,31.3,
1992-04,30.2,
1992-07,30.6,
1992-10,36.9,
1993-01,32.5,
1993-04,31.3,
1993-07,32.2,
1993-10,40.2,
1994-01,38.8,
1994-04,36.8,
1994-07,36.5,
1994-10,46.9,
1995-01,54.7,
1995-04,44.5,
1995-07,46.7,
1995-10,54.2,
1996-01,52.0,
1996-04,52.3,
1996-07,53.2,
1996-10,60.1,
1997-01,60.0,
1997-04,63.0,
1997-07,66.9,
1997-10,74.9,
1998-01,77.1,
1998-04,85.6,
1998-07,92.1,
1998-10,94.4,
1999-01,88.7,
1999-04,100.3,
1999-07,101.2,
1999-10,146.4,
2000-01,125.5,
2000-04,159.6,
2000-07,160.4,
2000-10,161.1,
2001-01,170.8,
2001-04,165.4,
2001-07,154.8,
2001-10,151.5,
2002-01,154.1,
2002-04,153.0,
2002-07,151.0,
2002-10,158.8,
2003-01,151.5,
2003-04,135.9,
2003-07,138.7,
2003-10,145.5,
2004-01,138.2,
2004-04,136.9,
2004-07,137.9,
2004-10,145.7,
2005-01,130.5,
2005-04,137.4,
2005-07,137.1,
2005-10,140.9,
2006-01,136.6,
2006-04,144.0,
2006-07,156.4,
2006-10,177.2,
2007-01,175.1,
2007-04,192.3,
2007-07,206.8,
2007-10,208.6,
2008-01,213.6,
2008-04,224.4,
2008-07,229.0,
2008-10,261.0,
2009-01,308.4,
2009-04,230.5,
2009-07,241.1,
2009-10,231.8,
2010-01,234.3,
2010-04,249.9,
2010-07,236.5,
2010-10,173.7,
2011-01,148.8,
2011-04,158.8,
2011-07,133.0,
2011-10,143.8,
2012-01,141.5,
2012-04,161.9,
2012-07,145.6,
2012-10,143.8,
2013-01,151.7,
2013-04,141.5,
2013-07,143.0,
2013-10,155.2,
2014-01,143.2,
