"",BBK01.OEAA13T,BBK01.OEAA13T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:22,
2002-01,19.943,
2002-04,20.008,
2002-07,20.034,
2002-10,20.256,
2003-01,20.824,
2003-04,20.843,
2003-07,21.011,
2003-10,20.978,
2004-01,21.281,
2004-04,21.342,
2004-07,21.368,
2004-10,21.417,
2005-01,22.038,
2005-04,22.005,
2005-07,21.974,
2005-10,21.969,
2006-01,21.851,
2006-04,22.022,
2006-07,22.172,
2006-10,22.245,
2007-01,22.159,
2007-04,21.909,
2007-07,22.028,
2007-10,21.903,
2008-01,21.931,
2008-04,21.971,
2008-07,22.311,
2008-10,22.639,
2009-01,22.513,
2009-04,23.131,
2009-07,23.213,
2009-10,23.483,
2010-01,23.429,
2010-04,23.561,
2010-07,24.377,
2010-10,24.305,
2011-01,24.645,
2011-04,24.916,
2011-07,25.270,
2011-10,25.530,
2012-01,25.942,
2012-04,26.288,
2012-07,26.593,
2012-10,26.715,
2013-01,27.242,
2013-04,26.890,
2013-07,27.027,
2013-10,26.960,
2014-01,27.081,
2014-04,27.395,
2014-07,27.625,
