"",BBFB1.Q.N.DE.S1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:47,
1991-01,-1055.706,
1991-04,-335.918,
1991-07,945.795,
1991-10,933.085,
1992-01,2755.792,
1992-04,784.529,
1992-07,1841.967,
1992-10,1012.096,
1993-01,4062.171,
1993-04,-120.459,
1993-07,20.427,
1993-10,4172.782,
1994-01,524.543,
1994-04,1741.081,
1994-07,2450.268,
1994-10,174.126,
1995-01,960.045,
1995-04,6642.452,
1995-07,4082.815,
1995-10,2987.981,
1996-01,2951.131,
1996-04,-293.766,
1996-07,-11.217,
1996-10,59.409,
1997-01,6676.186,
1997-04,7707.537,
1997-07,-3840.337,
1997-10,5200.244,
1998-01,2647.963,
1998-04,6335.622,
1998-07,8710.587,
1998-10,16461.944,
1999-01,-11034.893,
1999-04,10488.304,
1999-07,9529.773,
1999-10,16835.946,
2000-01,1300.325,
2000-04,10105.591,
2000-07,4303.076,
2000-10,197.838,
2001-01,12222.040,
2001-04,6784.247,
2001-07,717.507,
2001-10,-4533.702,
2002-01,5845.083,
2002-04,-1660.195,
2002-07,5647.486,
2002-10,-2413.128,
2003-01,5534.588,
2003-04,5876.795,
2003-07,-6826.960,
2003-10,-2414.617,
2004-01,429.322,
2004-04,-3893.027,
2004-07,6356.299,
2004-10,7112.455,
2005-01,-2525.418,
2005-04,4653.493,
2005-07,9370.594,
2005-10,4305.318,
2006-01,2004.447,
2006-04,1311.956,
2006-07,3742.986,
2006-10,11720.958,
2007-01,5514.925,
2007-04,10940.492,
2007-07,2375.415,
2007-10,23914.841,
2008-01,4491.286,
2008-04,10895.973,
2008-07,12024.849,
2008-10,-21423.155,
2009-01,18128.929,
2009-04,-13438.575,
2009-07,7312.277,
2009-10,7105.700,
2010-01,2513.523,
2010-04,11919.111,
2010-07,2763.589,
2010-10,7310.099,
2011-01,572.130,
2011-04,-1693.154,
2011-07,9051.172,
2011-10,20373.295,
2012-01,14988.856,
2012-04,11836.625,
2012-07,8608.016,
2012-10,-16787.274,
2013-01,-2839.281,
2013-04,-1273.399,
2013-07,-1467.388,
2013-10,10796.185,
2014-01,-2385.449,Provisional value
2014-04,7598.705,Provisional value
2014-07,-1078.965,Provisional value
2014-10,-9917.455,Provisional value
